time_period,name,price_per_night,url
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,71 CHF,https://www.airbnb.com/rooms/1188930325214083127?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742766488_P3HabQebHYEVzrWW&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Loft in Wittenbach,100 CHF,https://www.airbnb.com/rooms/52139216?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3SwKss82knAC0dG&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,44 CHF,https://www.airbnb.com/rooms/32656994?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742766489_P3C_WhtMVFiuBmSc&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,35 CHF,https://www.airbnb.com/rooms/1249206762119913900?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742766489_P3iqgHtzRYbo0in0&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in Herisau,55 CHF,https://www.airbnb.com/rooms/43076325?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742766489_P3oHQ4k2wqA-6Qmc&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Chalet in Herisau,72 CHF,https://www.airbnb.com/rooms/49508201?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3bd6fbQipZaDBuU&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in Goldach,95 CHF,https://www.airbnb.com/rooms/1152917005837922136?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3w-hPDNt-AX1wFI&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,88 CHF,https://www.airbnb.com/rooms/697517?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742766489_P3C1HLeJ-0V9Gp2h&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,42 CHF,https://www.airbnb.com/rooms/1257925754839001182?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2003974947&source_impression_id=p3_1742766489_P3_iW9y79mvQuThK&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,46 CHF,https://www.airbnb.com/rooms/1259385641646760181?check_in=2025-06-25&check_out=2025-06-27&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2005317282&source_impression_id=p3_1742766490_P3cNvedvAQkC3VoW&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,88 CHF,https://www.airbnb.com/rooms/1115968720346511055?check_in=2025-06-26&check_out=2025-06-28&search_mode=regular_search&adults=1&children=0&infants=0&pets=0&source_impression_id=p3_1742766490_P3Rc7NyhtwWfwUd8&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,81 CHF,https://www.airbnb.com/rooms/810193274543553942?check_in=2025-06-25&check_out=2025-06-29&search_mode=regular_search&adults=1&children=0&infants=0&pets=0&source_impression_id=p3_1742766490_P3p05EYJpWiV6dmK&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,96 CHF,https://www.airbnb.com/rooms/25726270?check_in=2025-06-25&check_out=2025-06-27&search_mode=regular_search&adults=1&children=0&infants=0&pets=0&source_impression_id=p3_1742766490_P3xtYfDTzBO_29fC&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,106 CHF,https://www.airbnb.com/rooms/52711443?check_in=2025-06-25&check_out=2025-06-27&search_mode=regular_search&adults=1&children=0&infants=0&pets=0&source_impression_id=p3_1742766490_P3Mi0rbcQJZNJznf&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,56 CHF,https://www.airbnb.com/rooms/24621835?check_in=2025-06-25&check_out=2025-06-29&search_mode=regular_search&adults=1&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=484971347&source_impression_id=p3_1742766490_P309UmWTDEsYlNdI&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in Herisau,45 CHF,https://www.airbnb.com/rooms/843681133127734943?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1744619190&source_impression_id=p3_1742766489_P3sslhMk8n8P-40e&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in Herisau,45 CHF,https://www.airbnb.com/rooms/33425237?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1682983843&source_impression_id=p3_1742766489_P3_U-V6JhfuzCX7c&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,75 CHF,https://www.airbnb.com/rooms/7655133?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1421192468&source_impression_id=p3_1742766489_P3XNwZir8KT9v04u&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in Goldach,102 CHF,https://www.airbnb.com/rooms/19566593?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3lHrJ8l3I1Ko8uW&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Gästehaus in Wittenbach,44 CHF,https://www.airbnb.com/rooms/15330846?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P38KrN3hLQD0pGI3&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in Rorschacherberg,106 CHF,https://www.airbnb.com/rooms/1241421119811754170?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3uBQGVUDmFR49F2&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Zimmer in Wittenbach,38 CHF,https://www.airbnb.com/rooms/1125797462650471378?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1874371840&source_impression_id=p3_1742766489_P3slJ8SwFTPm8Cr6&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,139 CHF,https://www.airbnb.com/rooms/964210138285327314?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766489_P3af3I0_b9wGSW4z&previous_page_section_name=1000&federated_search_id=2b114577-330f-476a-ba34-e1c19bf90cc1
