comment,num_of_likes
"Bayern, München4, :0Mainz",9
"Hoffenheim0, :5Dortmund",8
"Frankfurt3 :1, Leipzig",7
"Stuttgart - Heidenheim 2:1 Leverkusen - Augsburg 1:0 Bayern - Mainz 3:1 Hoffenheim - Dortmund 1:2 Wolfsburg - Freiburg 2:2 Kiel - Gladbach 2:3 Frankfurt - Leipzig 3:3 Bochum - Union 2:2 Bremen - Pauli 2:1",5
"Leverkusen3, :1Augsburg",5
"Wolfsburg3 :1Freiburg",5
"Stuttgart - Heidenheim 2-1 Leverkusen - Augsburg 1-1 Bayern - Mainz 2-1 Hoffenheim - Dortmund 1-3 Wolfsburg - Freiburg 2-1 Kiel - Gladbach 1-3 Frankfurt - Leipzig 2-2 Bochum - Union 2-1 Bremen - Pauli 2-0",4
"Bayern wird 3:1 gewinnen und Leverkusen 1:1 gegen Augsburg und Bayern ist Meister ❤️🤍💪",4
"Stuttgart vs Heidenheim 2:1 Heidenheim ist momentan echt nicht gut müsste Stuttgart in der Tasche haben Leverkusen vs Augsburg 3:0 Leverkusen einfach zu stark obwohl man Augsburg nicht unterschätzen darf, meiner Meinung nach müsste Leverkusen das aber haben Bayern vs Mainz 4:1 klare Sache für Bayern nix zu diskutieren TSG vs BVB 1:3 der bvb ist momentan halt wieder stark und die TSG echt nicht gut in der Saison Wolfsburg vs Freiburg 1:1 Freiburg ist aktuell echt stark aber man Darf die Wölfe nicht unterschätzen, unentschieden meiner Meinung nach Kiel vs Gladbach 0:3 ich glaube wir müssen nicht darüber reden Frankfurt vs Leipzig 2:2 aktuell eknacn auf dem selben Level wie ich finde Bochum vs Union 1:0 Union ist gerade echt nicht gut und man darf Bochum nicht unterschätzen Bremen vs Pauli 2:0 Bremen aktuell echt stark und Jo Das war's falls ihr Verbesserungen habt dann schreibt sie gerne unter mir",2
"Bremen1, :2Pauli",2
"Kiel3, :2Gladbach",2
"Denkt dran Mainz ist dafür bekannt die Bayern zu ärgern",2
"Stuttgart 1zu1 Heidenheim Leverkusen 2zu1 Augsburg Bayern 1zu2 Mainz Hoffenheim 1zu2 Dortmund Wolfsburg 1zu0 Freiburg Kiel 1zu1 Gladbach Frankfurt 3zu1 Leipzig Bochum 1zu2 Union Berlin Bremen 1zu2 st.pauli",2
"Erster",2
"Stuttgart 3:1 Heidenheim Leverkusen 0:0 Augsburg Bayern 3:2 Mainz Hoffenheim 1:6 Dortmund Wolfsburg 3:7 Freiburg Kiel 0:2 Gladbach Frankfurt 4:0 Leipzig Bochum 0:1 Union Bremen 2:0 St.Pauli",2
"Stuttgart 2: 1 Heidenheim Leverkusen 1:0 Augsburg Bayern 3:0 Mainz Hoffenheim 0:4 BVB💛🖤 Wolfsburg 0:2 Freiburg Kiel 1: 2 Gladbach Frankfurt 1: 1 Leipzig Bochum 1:0 Union Bremen 1:0 St. Pauli",1
"Die Dänischen Trainer in Augsburg u.Mainz❤machen einen MegaJob😊❤",1
