club,comment,compound,pos,neu,neg,sentiment
Vfb,nur der VfB Stuttgart,0.000,0.000,1.000,0.000,neutral
Vfb,ich war da im Stadion erste Reihe das war so krass als undav das 3-3 geschossen hat,0.813,0.291,0.709,0.000,very positive
Vfb,Dieses Spiel hat mir den letzten nerv geraubt,0.000,0.000,1.000,0.000,neutral
Vfb,Stiller,0.000,0.000,1.000,0.000,neutral
Vfb,ich liebe den VfB Stuttgart ❤️🤍,0.856,0.677,0.323,0.000,very positive
Vfb,VfB Barcelona 😇,0.459,0.375,0.625,0.000,very positive
Vfb,Angelo stillllllller,0.000,0.000,1.000,0.000,neutral
Vfb,Kameramann is King 👀,0.000,0.000,1.000,0.000,neutral
Vfb,Bin morgen dabei🤩,0.000,0.000,1.000,0.000,neutral
Vfb,Kriege ich ein Hi❤️,0.637,0.512,0.488,0.000,very positive
Vfb,erster 👑👑👑 bitte ein hej,0.318,0.277,0.723,0.000,positive
Vfb,Tiki-Taka🔥,0.572,0.787,0.213,0.000,very positive
Vfb,Löwen,0.000,0.000,1.000,0.000,neutral
Vfb,Erster 🔥🔥🔥,0.813,0.712,0.288,0.000,very positive
Vfb,hier bevor viral,0.000,0.000,1.000,0.000,neutral
Vfb,erster like,0.361,0.714,0.286,0.000,very positive
Vfb,"@Vadi25

wir in fifa👌",0.730,0.605,0.395,0.000,very positive
Vfb,😍😍😍,0.840,0.500,0.500,0.000,very positive
Vfb,🤍❤️🤍❤️,0.637,0.677,0.323,0.000,very positive
Vfb,👑👑👑,0.000,0.000,1.000,0.000,neutral
Bayern,Harry kane first one trophy tomorrow 🔥,0.813,0.552,0.448,0.000,very positive
Bayern,36,0.000,0.000,1.000,0.000,neutral
Bayern,Hello fcbayern Munchen 🫶,0.856,0.737,0.263,0.000,very positive
Bayern,hi admin need your reply 🫶❤️,0.856,0.583,0.417,0.000,very positive
Bayern,Erster,0.000,0.000,1.000,0.000,neutral
Bayern,Magical 🧙 Thiago 🔥,0.813,0.712,0.288,0.000,very positive
Bayern,Thiagooooooooooooo🔥,0.572,0.787,0.213,0.000,very positive
Bayern,The magician 🪄,0.000,0.000,1.000,0.000,neutral
Bayern,ميا سان ميا 🫶🏻❤️❤️❤️❤️,0.927,0.583,0.417,0.000,very positive
Bayern,Miss him 😭😩❤️❤️❤️,0.557,0.328,0.547,0.125,very positive
Bayern,😍 Go 😅,0.670,0.440,0.560,0.000,very positive
Bayern,omg,0.000,0.000,1.000,0.000,neutral
Bayern,صلي على سيدنا محمد,0.318,0.365,0.635,0.000,positive
Bayern,ketiga,0.000,0.000,1.000,0.000,neutral
Bayern,Jo,0.000,0.000,1.000,0.000,neutral
Bayern,Not first,0.000,0.000,1.000,0.000,neutral
Bayern,🔥❤,0.912,0.921,0.079,0.000,very positive
Bayern,😉😉😉,0.000,0.000,1.000,0.000,neutral
Bayern,❤️❤️❤️,0.856,0.808,0.192,0.000,very positive
Bayern,🤪🤪🤪,0.000,0.000,1.000,0.000,neutral
Heidenheim,"Bis morgen, Frans 😌",0.382,0.342,0.658,0.000,very positive
Heidenheim,Stuttgart wird Heidenheim zerstören,-0.542,0.000,0.462,0.538,very negative
Heidenheim,ich sag ihr verliert 2:1 p.s. bin im Stadion 😹,0.840,0.357,0.510,0.134,very positive
Heidenheim,Warum haben wir denn krätzig nicht gekauft 😩,-0.526,0.000,0.639,0.361,very negative
Heidenheim,Ich mag Heidenheim :),0.670,0.733,0.267,0.000,very positive
Heidenheim,viel Erfolg beim Spiel Heidenheim,0.710,0.663,0.337,0.000,very positive
Heidenheim,wie geil Gruß aus Stuttgart,0.910,0.758,0.242,0.000,very positive
Heidenheim,"Da muss sogar ich (vfb) lachen 😂. FCH, ihr seid Zucker 👌🥰",0.964,0.552,0.398,0.050,very positive
Heidenheim,Bestes Duo 🤝🤝🤝,0.000,0.000,1.000,0.000,neutral
Heidenheim,Hab für euch gevoted mit zwei Geräten 🤍❤️,0.637,0.375,0.625,0.000,very positive
Heidenheim,frans und nick 🤍❤️🫶🏻❤️💙,0.927,0.583,0.417,0.000,very positive
Heidenheim,"Seid sympathisch, Grüße aus Stuttgart 🤍❤️",0.875,0.714,0.286,0.000,very positive
Heidenheim,krige ich ein hey habe Geburtstag bitte,0.318,0.315,0.685,0.000,positive
Heidenheim,Suche noch 2 tickets für morgen,0.000,0.000,1.000,0.000,neutral
Heidenheim,Diese Admins sind so geil 😂,0.923,0.589,0.332,0.079,very positive
Heidenheim,im from georgia the best❤️bundesliga team reply?🇬🇪🇩🇪,0.000,0.000,1.000,0.000,neutral
Heidenheim,VfB Stuttgart,0.000,0.000,1.000,0.000,neutral
Heidenheim,1,0.000,0.000,1.000,0.000,neutral
Heidenheim,111❤️,0.637,0.808,0.192,0.000,very positive
Heidenheim,Hello 👋 from georgia 🇬🇪,0.494,0.390,0.610,0.000,very positive
Berlin,"BITTE GEWINNT DAS JUNGS, BITTE",0.813,0.808,0.192,0.000,very positive
Berlin,Admin hat sein Job gemacht✅jetzt muss später noch die Mannschaft perfomen🔴⚪️,0.000,0.000,1.000,0.000,neutral
