bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer,Gender,Alter
Bayern,CSU,1,Dobrindt,Alexander,"MdB, Dipl.-Soziologe",1970,Weilheim,225,male,54
Bayern,CSU,2,Lindholz,Andrea,"MdB, Rechtsanwältin",1970,Aschaffenburg,246,female,54
Bayern,CSU,3,Felßner,Günther,Landwirt,1966,,,male,58
Bayern,CSU,4,Ludwig,Daniela,"MdB, Dipl.-Juristin",1975,Rosenheim,221,female,49
Bayern,CSU,5,Rainer,Alois Georg Josef,"MdB, Metzgermeister",1965,Straubing,230,male,59
Bayern,CSU,6,Bär,Dorothee Gisela Renate Maria,Mitglied des Deutschen Bundestages,1978,Bad Kissingen,247,female,46
Bayern,CSU,7,Hahn,Florian Peter,Mitglied des Deutschen Bundestages,1974,München-Land,220,male,50
Bayern,CSU,8,Zeulner,Emmi,Mitglied des Deutschen Bundestages,1987,Kulmbach,239,female,37
Bayern,CSU,9,Dr. Pilsinger,Stephan Nikolaus,"MdB, Hausarzt",1987,München-West/Mitte,219,male,37
Bayern,CSU,10,Englhardt-Kopf,Martina,"MdB, Studiendirektorin a. D.",1981,Schwandorf,233,female,43
Bayern,CSU,11,Brehm,Sebastian Alfred,"MdB, Steuerberater",1971,Nürnberg-Nord,243,male,53
Bayern,CSU,12,Dr. Weisgerber,Anja,"MdB, Rechtsanwältin",1976,Schweinfurt,249,female,48
Bayern,CSU,13,Frieser,Michael Edwin,"MdB, Rechtsanwalt",1964,Nürnberg-Süd,244,male,60
Bayern,CSU,14,Wittmann,Mechthilde,Mitglied des Deutschen Bundestages,1967,Oberallgäu,256,female,57
Bayern,CSU,15,Dr. Ullrich,Volker Michael,"MdB, Jurist, Dipl.-Kaufmann",1975,Augsburg-Stadt,251,male,49
Bayern,CSU,16,Staffler,Katrin,Mitglied des Deutschen Bundestages,1981,Fürstenfeldbruck,214,female,43
Bayern,CSU,17,Baumgartner,Günter,Sparkassenbetriebswirt,1975,Rottal-Inn,229,male,49
Bayern,CSU,18,Küng,Claudia,Dipl.-Volkswirtin,1964,München-Süd,218,female,60
Bayern,CSU,19,Dr. Theiss,Hans Diogenes,Arzt,1977,München-Nord,216,male,47
Bayern,CSU,20,Dr. Launert,Silke,Mitglied des Deutschen Bundestages,1976,Bayreuth,236,female,48
Bayern,CSU,21,Dr. Körner,Konrad,Rechtsanwalt,1992,Erlangen,241,male,32
Bayern,CSU,22,Hierl,Susanne,"MdB, Rechtsanwältin",1973,Amberg,231,female,51
Bayern,CSU,23,Rohrmoser,Josef,Personalleiter,1997,,,male,27
Bayern,CSU,24,Dr. Kössinger,Julia Christina Katharina,Oberregierungsrätin,1993,,,female,31
Bayern,CSU,25,Rupprecht,Albert Robert,"MdB, Dipl.-Volkswirt",1968,Weiden,234,male,56
Bayern,CSU,26,Dr. Düber,Hülya,Sozialreferentin,1978,Würzburg,250,female,46
Bayern,CSU,27,Dr. Fabritius,Bernd-Bernhard,Rechtsanwalt,1965,,,male,59
Bayern,CSU,28,Zintl,Irmgard Sofie,Hauswirtschaftsmeisterin,1963,,,female,61
Bayern,CSU,29,Meier,Reiner,Dipl.-Verwaltungswirt (FH),1953,,,male,71
Bayern,CSU,30,Sontag-Lohmayer,Sophie Maria Dorothea,Politikwissenschaftlerin (M. Sc.),1992,,,female,32
Bayern,CSU,31,Hain,Heiko,Verwaltungsfachwirt,1982,Hof,238,male,42
Bayern,CSU,32,Prof. Dr. Wespel,Franziska,Beamtin,1981,,,female,43
Bayern,CSU,33,Moser,Christian Anton,Jurist,1989,Freising,213,male,35
Bayern,CSU,34,Auerhahn,Anna-Maria,Juristin,1996,,,female,28
Bayern,CSU,35,Koller,Johann Georg,Land- und Gastwirt,1971,Passau,228,male,53
Bayern,CSU,36,Freifrau von Waldenfels,Martina Annemarie Marianne Hanna,Landschaftsarchitektin,1975,,,female,49
Bayern,CSU,37,Hochrein,Claus,Landwirt,1974,,,male,50
Bayern,CSU,38,Edmeier,Sabrina,Rechtsanwältin,1995,,,female,29
Bayern,CSU,39,Schuster,Aron,Dipl.-Betriebswirt (FH),1984,,,male,40
Bayern,CSU,40,Renner,Nikola Yvonne Astrid,Justiziarin,1969,,,female,55
Bayern,CSU,41,Mörtl,Joseph Manfred,Doktorand,1999,,,male,25
Bayern,CSU,42,Dr. Ziegler,Katharina Maria,juristische Staatsbeamtin,1985,,,female,39
Bayern,CSU,43,Walk,Valentin Rupert,Regierungsbeamter,1996,,,male,28
Bayern,CSU,44,Polster,Lara,Wirtschaftspsychologin,1988,,,female,36
Bayern,CSU,45,Neumeyer,Niklas Martin Pabo,Pressesprecher,1992,,,male,32
Bayern,CSU,46,Fischer,Kathrin,Politik- und Kulturwissenschaftlerin,1985,,,female,39
Bayern,CSU,47,Süß,Michael,Bankkaufmann,2003,,,male,21
Bayern,CSU,48,Hoffmann-Baumstark,Bianca,Erzieherin,1980,,,female,44
Bayern,CSU,49,Rudrof,Constantin,wissenschaftl. Mitarbeiter,1997,,,male,27
Bayern,CSU,50,Kaiser,Sophia,Lehrkraft im Vorbereitungsdienst,1997,,,female,27
Bayern,CSU,51,van Laak,Yannick Maurice,Polizeihauptkommissar,1996,,,male,28
Bayern,CSU,52,Kohlmüller,Monika,Rechtsanwältin,1992,,,female,32
Bayern,CSU,53,Uhl,Daniel Rupert,Industriefachwirt,1998,,,male,26
Bayern,CSU,54,Rieß,Tanja,Industriekauffrau,1991,,,female,33
Bayern,CSU,55,Dr. Giersdorf,Fabian,Oberregierungsrat,1990,,,male,34
Bayern,CSU,56,Wenning,Simone,selbst. Modedesignerin,1977,,,female,47
Bayern,CSU,57,Thomas,Stephan,Lehrer,1980,,,male,44
Bayern,CSU,58,Lang,Julia,Gymnasiallehrerin,1982,,,female,42
Bayern,CSU,59,Huber,Valentin Alfred Rudolf,Student,1997,,,male,27
Bayern,CSU,60,Herding,Susanne,Industrietechnologin,1970,,,female,54
Bayern,CSU,61,Reusch,Robin,Baurat,1991,,,male,33
Bayern,CSU,62,Schrembs,Regina,Verwaltungsangestellte,1971,,,female,53
Bayern,CSU,63,Rose,Christian,Jurist,1983,,,male,41
Bayern,CSU,64,Barth,Birgit,Betriebswirtin,1972,,,female,52
Bayern,CSU,65,Barth,Frederik,Student,2002,,,male,22
Bayern,CSU,66,Haneberg,Sarah,wissenschaftl. Mitarbeiterin,1993,,,female,31
Bayern,CSU,67,Pursch,Julien,Dipl.-Finanzwirt (FH),1999,,,male,25
Bayern,CSU,68,Jakob,Gabriele Jessica,Rechtsanwältin,1972,,,female,52
Bayern,CSU,69,Lehrmann,Christian Hugo,Polizeibeamter,1980,,,male,44
Bayern,CSU,70,Haspel,Heike Karin,Personalsachbearbeiterin,1969,,,female,55
Bayern,CSU,71,Asenbauer,Johannes Michael,Automobilverkäufer,1992,,,male,32
Bayern,CSU,72,Rickl,Elisabeth,Studiendirektorin,1967,,,female,57
Bayern,CSU,73,Mudgal,Siddharth,Direktor Restrukturierung,1981,,,male,43
Bayern,CSU,74,Seiferlein,Corinna Sarah Christina,Sozialmanager (B. A.),1990,,,female,34
Bayern,CSU,75,Schmidbauer,Fabian Artur Ernst,Gymnasiallehrer,1992,,,male,32
Bayern,CSU,76,Burkhardt,Anja,Architektin,1968,,,female,56
Bayern,CSU,77,Brunkhorst,Ben,Student,2004,,,male,20
Bayern,CSU,78,Gräfin von Brühl-Störlein,Juliana Josephin,Studentin,2003,,,female,21
Bayern,CSU,79,Müller,Jonas Markus,Student,2002,,,male,22
Bayern,CSU,80,Bergmann,Silvia,Betriebswirtin i. R.,1959,,,female,65
Bayern,CSU,81,Helgert,Michael Georg,Elektromeister,1964,,,male,60
Bayern,CSU,82,Kaida,Florian Roland,wissenschaftl. Mitarbeiter,1999,,,male,25
Bayern,CSU,83,Stiegeler,David,Referent Bürgeranliegen und Kundenbeziehungsmanagement,1997,,,male,27
Bayern,CSU,84,Alfery,Johannes,Rechtsreferendar,1998,,,male,26
Bayern,CSU,85,Götz,Maximilian,Steuerberater,1987,,,male,37
Bayern,CSU,86,Prof. Dr. Dr. Ehlers,Alexander Paul Friedrich,Rechtsanwalt,1955,,,male,69
Bayern,CSU,87,Hänsel,Gottfried,Bankfilialdirektor i. R.,1951,,,male,73
Bayern,CSU,88,Kämmerer,Jan,Dipl.-Verwaltungswirt (FH),1999,,,male,25
Bayern,CSU,89,Stöckert,Philipp Karl Dimit'r,Jurist,1997,,,male,27
Bayern,CSU,90,Stocker-Böck,Jakob,IT-Projektleiter,1999,,,male,25
Bayern,CSU,91,Fleig,Florian Alexander,Rechtsanwalt,1981,,,male,43
Bayern,CSU,92,Picker,Rolf,Rechtsanwalt,1953,,,male,71
Bayern,SPD,1,Träger,Carsten Dietmar,Mitglied des Deutschen Bundestages,1973,Fürth,242,male,51
Bayern,SPD,2,Dr. Kofler,Bärbel,MdB,1967,Traunstein,224,female,57
Bayern,SPD,3,Schätzl,Johannes,"MdB, Informatiker",1993,Passau,228,male,31
Bayern,SPD,4,Kramme,Anette,"MdB, parl. Staatssekretärin",1967,Bayreuth,236,female,57
Bayern,SPD,5,Roloff,Sebastian Jörg,"MdB, Rechtsanwalt",1983,München-Süd,218,male,41
Bayern,SPD,6,Dittmar,Sabine,"MdB, parl. Staatssekretärin",1964,Bad Kissingen,247,female,60
Bayern,SPD,7,Schmid,Christoph Florian,Mitglied des Deutschen Bundestages,1976,Donau-Ries,253,male,48
Bayern,SPD,8,Dr. Wagner,Carolin,"MdB, Referatsleiterin",1982,Regensburg,232,female,42
Bayern,SPD,9,Rützel,Bernd Ferdinand,"MdB, techn. Oberamtsrat a. D.",1968,Main-Spessart,248,male,56
Bayern,SPD,10,Heinrich,Gabriela,Dipl.-Medienberaterin,1963,Nürnberg-Nord,243,female,61
Bayern,SPD,11,Schrodi,Michael,Gymnasiallehrer,1977,Fürstenfeldbruck,214,male,47
Bayern,SPD,12,Wegge,Carmen,"MdB, Regierungsrätin a. D.",1989,Starnberg – Landsberg am Lech,223,female,35
Bayern,SPD,13,Schwarz,Andreas,"MdB, Dipl.-Betriebswirt (FH)",1965,Bamberg,235,male,59
Bayern,SPD,14,Heubach,Heike,Mitglied des Deutschen Bundestages,1979,Augsburg-Land,252,female,45
Bayern,SPD,15,Mandrella,David Tobias,Referendar,2001,Amberg,231,male,23
Bayern,SPD,16,König,Anja,Angestellte,1970,Landshut,227,female,54
Bayern,SPD,17,Mehltretter,Andreas Maximilian,Volkswirt,1991,Freising,213,male,33
Bayern,SPD,18,Knorr-Köning,Seija Anne,Pflegekraft,1994,München-West/Mitte,219,female,30
Bayern,SPD,19,Nürnberger,Jörg Mathias,Mitglied des Deutschen Bundestages,1967,Hof,238,male,57
Bayern,SPD,20,Bahr,Ulrike,Mitglied des Deutschen Bundestages,1964,Augsburg-Stadt,251,female,60
Bayern,SPD,21,Hümpfer,Markus Klaus,"MdB, Ingenieur",1992,Schweinfurt,249,male,32
Bayern,SPD,22,Hagl-Kehl,Rita Andrea,"MdB, Studienrätin",1970,Deggendorf,226,female,54
Bayern,SPD,23,Plobner,Jan Heinz Stefan,Mitglied des Deutschen Bundestages,1992,Roth,245,male,32
Bayern,SPD,24,Schieder,Marianne,"MdB, Juristin",1962,Schwandorf,233,female,62
Bayern,SPD,25,Dr. Rüger,Korbinian Nicholas,Dozent an der Universität,1988,München-Land,220,male,36
Bayern,SPD,26,Stamm-Fibich,Martina,Mitglied des Deutschen Bundestages,1965,Erlangen,241,female,59
Bayern,SPD,27,Eder,Severin Johannes Antonin,Referent Nachhaltigkeit,1992,Rottal-Inn,229,male,32
Bayern,SPD,28,Räth,Katharina,Gewerkschaftssekretärin,1983,Würzburg,250,female,41
Bayern,SPD,29,Eckstein,Jonas Bastian,Bauzeichner,1998,Coburg,237,male,26
Bayern,SPD,30,Dr. Renner,Regina Michaela,wissenschaftl. Mitarbeiterin,1985,Ostallgäu,257,female,39
Bayern,SPD,31,Forster,Gregor Johannes,Studienrat,1981,Weiden,234,male,43
Bayern,SPD,32,Praun,Nadine,Gymnasiallehrerin,1995,Ingolstadt,215,female,29
Bayern,SPD,33,Grämmer,Thomas,Diakon,1981,Nürnberg-Süd,244,male,43
Bayern,SPD,34,Molnar,Reka,duale Studentin,2000,Rosenheim,221,female,24
Bayern,SPD,35,Sat,Ali-Cemil,Student,2000,Kulmbach,239,male,24
Bayern,SPD,36,Sigl-Glöckner,Philippa Maria Magdalena Patricia,Ökonomin,1990,München-Nord,216,female,34
Bayern,SPD,37,Michniok,Manuel Stefan,Gewerkschaftssekretär,1985,Aschaffenburg,246,male,39
Bayern,SPD,38,Lehner,Sarah Carmen,Projektkoordinatorin,1995,,,female,29
Bayern,SPD,39,Mirlach,Daniel,Pflegefachkraft,1997,Ansbach,240,male,27
Bayern,SPD,40,Kliem,Marvin,Angestellter,1997,Straubing,230,male,27
Bayern,SPD,41,Keller,Marcel,Lehrer,1993,Memmingen – Unterallgäu,255,male,31
Bayern,SPD,42,Fernengel,Jürgen,Chemieingenieur,1985,Altötting,211,male,39
Bayern,SPD,43,Rausch,David Christian,Sozialwissenschaftler,1994,München-Ost,217,male,30
Bayern,SPD,44,Büch,Andreas,Gruppenleiter Versandlogistik,1991,Neu-Ulm,254,male,33
Bayern,SPD,45,Dr. Mohr,Marco,Wirtschaftswissenschaftler,1984,Erding – Ebersberg,212,male,40
Bayern,SPD,46,Plappert,Konstantin,Student,2003,Oberallgäu,256,male,21
Bayern,SPD,47,Meikis,Clemens Andreas Johannes,Geschäftsführer,1979,Weilheim,225,male,45
Bayern,SPD,48,Joos,Raffael,Student,1992,Bad Tölz-Wolfratshausen – Miesbach,222,male,32
Bayern,SPD,49,Werner,Stefan,Verwaltungsfachangestellter,1977,,,male,47
Bayern,GRÜNE,1,Schäfer,Jamila Anna,Mitglied des Deutschen Bundestages,1993,München-Süd,218,female,31
Bayern,GRÜNE,2,Dr. Hofreiter,Anton,"MdB, Dipl.-Biologe",1970,München-Land,220,male,54
Bayern,GRÜNE,3,Roth,Claudia Benedikta,Staatsministerin Kultur und Medien,1955,Augsburg-Stadt,251,female,69
Bayern,GRÜNE,4,Müller,Sascha,"MdB, Sportjournalist",1970,Nürnberg-Süd,244,male,54
Bayern,GRÜNE,5,Badum,Lisa Hildegard,Mitglied des Deutschen Bundestages,1983,Bamberg,235,female,41
Bayern,GRÜNE,6,Bär,Karl,"MdB, Agrarökonom",1985,Bad Tölz-Wolfratshausen – Miesbach,222,male,39
Bayern,GRÜNE,7,Winklmann,Tina,Verfahrensmechanikerin,1980,Schwandorf,233,female,44
Bayern,GRÜNE,8,Wagener,Niklas,Mitglied des Deutschen Bundestages,1998,Aschaffenburg,246,male,26
Bayern,GRÜNE,9,Schönberger,Marlene Edeltraud,"MdB, Politikwissenschaften (M. A.)",1990,Rottal-Inn,229,female,34
Bayern,GRÜNE,10,Eckert,Leon,"MdB, Kommunalreferent",1995,Freising,213,male,29
Bayern,GRÜNE,11,Lenhard,Rebecca,selbst. IT-Beraterin,1995,Nürnberg-Nord,243,female,29
Bayern,GRÜNE,12,Wagner,Johannes,Arzt,1991,Coburg,237,male,33
Bayern,GRÜNE,13,Broßart,Victoria,Ingenieurin,1992,Rosenheim,221,female,32
Bayern,GRÜNE,14,Schmidt,Stefan,"MdB, Lehrer",1981,Regensburg,232,male,43
Bayern,GRÜNE,15,Hecht,Jessica Berta,Lehrerin,1972,Würzburg,250,female,52
Bayern,GRÜNE,16,Dr. Pircher,Bianca,Biologin,1994,Roth,245,female,30
Bayern,GRÜNE,17,Wörle,Andrea,Referentin Haushaltspolitik,1985,Oberallgäu,256,female,39
Bayern,GRÜNE,18,Machnik,Petra Verena,freie Journalistin,1979,Starnberg – Landsberg am Lech,223,female,45
Bayern,GRÜNE,19,Jacob,Britta,Dipl.-Kulturwirtin,1980,Fürstenfeldbruck,214,female,44
Bayern,GRÜNE,20,Hermann,Andre Phillipp,Krisenmanager,1981,München-Ost,217,male,43
Bayern,GRÜNE,21,Wißmiller,Maria Ingrid,Umweltberaterin,1987,Ostallgäu,257,female,37
Bayern,GRÜNE,22,Krieger,Maria,Volkswirtin,1985,Landshut,227,female,39
Bayern,GRÜNE,23,Schweiger,Ulrike Barbara,Personalreferentin,1965,Traunstein,224,female,59
Bayern,GRÜNE,24,Artun,Alpay,Softwareentwickler,1987,Neu-Ulm,254,male,37
Bayern,GRÜNE,25,Niedermeier,Feride,Sozialversicherungsfachangestellte,1975,Straubing,230,female,49
Bayern,GRÜNE,26,Amler,Sebastian Hermann,Student,1997,Ansbach,240,male,27
Bayern,GRÜNE,27,Droste,Anneliese,Intensivpflegekraft,1967,Weiden,234,female,57
Bayern,GRÜNE,28,Salimi,Kamran Michael,Krankenpfleger,1969,Fürth,242,male,55
Bayern,GRÜNE,29,Bößert,Inken,Dipl.-Kauffrau,1970,Bayreuth,236,female,54
Bayern,GRÜNE,30,Weis,Peter,Rechtsdozent,1992,Main-Spessart,248,male,32
Bayern,GRÜNE,31,Göppel-Kraft,Sophia Lydia,Energieökonomin,1988,,,female,36
Bayern,GRÜNE,32,Lochmüller,Christoph Johannes,Aufzugbau-Unternehmer,1967,Erding – Ebersberg,212,male,57
Bayern,GRÜNE,33,Probst,Julia Fatima,PR-Referentin,1981,,,female,43
Bayern,GRÜNE,34,Damm,William Sebastian,Dipl.-Informatiker,1979,Deggendorf,226,male,45
Bayern,GRÜNE,35,Anton-Kupfer,Miriam Mechthild,Journalistin,1976,,,female,48
Bayern,GRÜNE,36,Ochs,Thomas Josef,Gitarrenbaumeister,1973,Kulmbach,239,male,51
Bayern,GRÜNE,37,Dr. Sigloch,Helene,IT-Sicherheitsexpertin,1983,,,female,41
Bayern,GRÜNE,38,Schmidt,Helmut Horst-Werner,Gebietsverkaufsleiter,1962,Augsburg-Land,252,male,62
Bayern,GRÜNE,39,Schießer,Lisa Marie,Angestellte im öffentlichen Dienst,1993,,,female,31
Bayern,GRÜNE,40,Guter,Paulus Maximilian,Elektrotechnik-Ingenieur,1994,Erlangen,241,male,30
Bayern,GRÜNE,41,Thaqi,Albina,Studentin,2004,,,female,20
Bayern,GRÜNE,42,Nagel,Merlin Georg Friedrich,Ingenieur,1986,Ingolstadt,215,male,38
Bayern,GRÜNE,43,Siontas,Patrizia Anna,Fremdsprachenkorrespondentin,1973,,,female,51
Bayern,GRÜNE,44,Ruser,Christian Andreas,pädagogischer Mitarbeiter,1980,Bad Kissingen,247,male,44
Bayern,GRÜNE,45,Claus,Vivian-Catherine,Wirtschaftsingenieurin,1996,,,female,28
Bayern,GRÜNE,46,Biela,Peter,Betriebstechniker,1983,Altötting,211,male,41
Bayern,GRÜNE,47,Hartl,Monika Chantal Margarita,Studienrätin Förderschuldienst,1971,,,female,53
