party,occupation_1,count_1,occupation_2,count_2,occupation_3,count_3,occupation_4,count_4,occupation_5,count_5
CDU/CSU,Rechtsanwalt,36,Jurist,21,Student,19,Geschäftsführer,18,Bankkaufmann,14
SPD,Student,27,Jurist,15,Rechtsanwalt,14,Lehrer,13,Angestellter,12
GRÜNE/B 90,Student,26,Lehrer,12,Jurist,6,Arzt,5,Ingenieur,5
FDP,Student,19,Rechtsanwalt,16,Unternehmer,15,Geschäftsführer,14,Unternehmensberater,5
AfD,Rechtsanwalt,9,Angestellter,8,Dipl.-Kaufmann,7,Unternehmer,6,Referent,5
Freie Wähler,Rentner,11,Unternehmer,11,selbständig,10,Kaufmann,6,Student,6
Die Linke,Student,15,Sozialarbeiter,10,Gewerkschaftssekretär,7,wissenschaftl. Mitarbeiter,5,Politikwissenschaftler,5
dieBasis,Rentner,5,selbständig,2,Softwareentwickler,2,Bürokaufmann,2,Angestellte im Gesundheitswesen,1
Tierschutzpartei,Rentner,9,Tierarzt,3,Student,3,Bürokaufmann,3,Industriekaufmann,2
Die PARTEI,Student,13,Angestellter,11,Rentner,7,Softwareentwickler,5,Projektmanager,3
ÖDP,Rentner,3,Winzer,2,Ingenieur,2,Dipl.-Kaufmann,1,Referendarin Lehramt Grundschule,1
BP,Dipl.-Ingenieur,1,Bäcker,1,Fahrschulleiter,1,Lehrer,1,Kriminalhauptkommissar a. D.,1
Volt,Student,20,Angestellter,8,Projektmanager,7,Lehrer,5,Schüler,5
PdH,Student,4,Softwareentwickler,3,Biologe,2,akad. Sprachtherapeut,1,Psychologe,1
MLPD,Rentner,18,Lehrer,8,Erzieher,5,Bürokaufmann,4,Student,3
BÜNDNIS DEUTSCHLAND,selbständig,6,Geschäftsführer,5,Unternehmer,4,Versicherungsfachmann,2,Arzthelfer,2
BSW,Lehrer,9,Rentner,7,Angestellter,4,Journalist,4,Jurist,4
Die Gerechtigkeitspartei – Team Todenhöfer,Publizist,1,Facility-Manager,1,Steuerberater,1,Manager,1,pädagogischer Mitarbeiter,1
BüSo,Journalist,2,Angestellter,2,Arzt,1,kaufm. Angestellter,1,Bibliothekar,1
SGP,Psychologe,1,Journalist,1,,0,,0,,0
MERA25,Student,4,Softwareentwickler,2,Habilitand,1,Wirtschaftsingenieur,1,Rechtswissenschaftlerin (LL. M.),1
PdF,selbständig,1,Vertriebsleiter,1,Freischaffend,1,,0,,0
MENSCHLICHE WELT,Redakteur,1,Schulbegleiter,1,,0,,0,,0
Verjüngungsforschung,Student,1,Software Consultant,1,Rentner,1,Physiker,1,Sicherheitsfachkraft,1
Bündnis C,Account Manager IT,1,Allgemeinmediziner i. R.,1,Program Manager,1,ev. Pfarrer i. R.,1,Werkzeugmechaniker,1
PIRATEN,Schüler,2,Student,2,Softwareentwickler,2,Industriekaufmann,1,Krankenpfleger,1
SSW,Student,2,freier Journalist,1,Sachbearbeiter,1,Finanzanlagenvermittler,1,Dipl.-Pädagogin (Erziehungswissenschaftlerin),1
