party,tweet_id,created_at,text,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,view_count,lang,is_quote,has_media,urls,hashtags,conversation_id,possibly_sensitive
AfD,1915375228202426819,Thu Apr 24 12:00:15 +0000 2025,"+++ Die Kommunen sind aufgrund der ungebremsten Massenzuwanderung finanziell am Ende. Jetzt werden die Bürger geschröpft. +++

Es ist kaum zu glauben: Nach der absurden Verpackungssteuer in Tübingen folgt nun in Wiesbaden der nächste Schlag gegen die Bürger – der sogenannte https://t.co/O5WSp9LLvW",315,72,18,1,3,2769,de,False,True,,,,False
AfD,1915328475654754417,Thu Apr 24 08:54:28 +0000 2025,"+++ Fahrt an die Wand - Mittelstand, Kommunen, das ganze Land +++

Der deutsche Mittelstand blutet aus – und niemand in der Regierung scheint sich dafür zu interessieren! Die neuesten Zahlen des Datev-Mittelstandsindex zeigen: Im März 2025 ist die Beschäftigung im Mittelstand um https://t.co/T5kduaIDiF",798,166,28,2,2,7978,de,False,True,,,,False
AfD,1915042933713125415,Wed Apr 23 13:59:49 +0000 2025,"""Lügenverbot"" von CDU &amp; SPD: Meinungsfreiheit gibt es nur noch mit der AfD!

Wenn ein Satirebild über eine Ministerin reicht, um einen Journalisten zu verurteilen, dann scheitert der Rechtsstaat – das ist politische Zensur! Die Hausdurchsuchungen bei Bürgern, mediale Hetzjagden https://t.co/l8tuD28HKW",2816,495,136,14,21,24339,de,False,True,,,,False
AfD,1914982496166387726,Wed Apr 23 09:59:40 +0000 2025,"+++ Verhöhnung der Opfer: Bundesregierung nennt Gewaltexplosion „erwartbar“! +++

Es ist ein unhaltbarer Zustand: Während die Bundesregierung untätig bleibt, schnellen die Zahlen tatverdächtiger Asylbewerber bei Gewaltdelikten drastisch in die Höhe. Laut aktueller https://t.co/yzFWeh9Xpw",3332,705,112,25,33,29114,de,False,True,,,,False
AfD,1914944348925427950,Wed Apr 23 07:28:05 +0000 2025,"+++ Wirtschaftlichen Niedergang aufhalten: Bürokratie stoppen!  +++

Jahr für Jahr verkünden CDU, SPD und ihre Minister den „großen Wurf“ beim Bürokratieabbau – doch das Gegenteil ist der Fall. Eine neue Studie zeigt: Noch nie war die Regelungsflut in Deutschland so groß wie https://t.co/kZ6aaLSqzW",1132,173,24,3,6,11849,de,False,True,,,,False
AfD,1914933166080458772,Wed Apr 23 06:43:39 +0000 2025,"RT @Dennis_Hohloch: 10 % Rabatt aufs Wunschkind?
https://t.co/mhMpRv5xY5 macht Werbung für #Leihmutterschaft in Georgien – mit Rabattcode.…",0,175,0,0,0,,de,False,False,http://Queer.de,Leihmutterschaft,,False
AfD,1914931900294037626,Wed Apr 23 06:38:37 +0000 2025,"RT @M_Reichardt_AfD: 🔴🔴🔴 Widerlich pietätloser Beitrag des Staatsfunks zum Tod des Papstes!
Ich habe vom verstorbenen Pabst zu Lebzeiten ni…",0,910,0,0,0,,de,False,False,,,,
AfD,1914684911069339730,Tue Apr 22 14:17:10 +0000 2025,"RT @M_Reichardt_AfD: Pressemitteilung: Berlin, 21. April 2025. Das oberste britische Gericht hat letzte Woche entschieden, dass das Geschle…",0,100,0,0,0,,de,False,False,,,,
AfD,1914680637421736372,Tue Apr 22 14:00:11 +0000 2025,"+++ Friedensverhandlungen ohne uns? EU und Deutschland müssen endlich Führung zeigen! +++

Was für eine geopolitisches Bankrotterklärung für Europa! Nach einer brüchigen, aber bemerkenswerten Osterwaffenruhe signalisiert Kremlchef Wladimir Putin erstmals seit Kriegsbeginn die https://t.co/TJxGZAsbSt",954,163,50,2,7,12573,de,False,True,,,,False
AfD,1914634345748234630,Tue Apr 22 10:56:14 +0000 2025,"26 % bei Forsa: Die AfD ist weiterhin stärkste Kraft in der aktuellen Sonntagsfrage - und das mit einem neuen Rekordwert! Immer mehr Bürger erkennen, dass es nur mit der AfD eine Politikwende geben wird.

Werde jetzt Deutschlandretter und unterstütze uns auch aktiv: https://t.co/VMBF2mZSwv",8685,1176,182,25,52,71721,de,False,True,http://mitmachen.afd.de,,,False
AfD,1914614757321044255,Tue Apr 22 09:38:24 +0000 2025,"+++ Illegale Migration überlastet das Sozialsystem: Zeit für eine Asylwende! +++

Die Belastung durch Sozialabgaben in Deutschland droht außer Kontrolle zu geraten. Während sich CDU und SPD in endlosen Koalitionsverhandlungen verlieren, müssen Arbeitnehmer schon heute nahezu https://t.co/o4PgOz3pcE",3682,619,59,10,9,25292,de,False,True,,,,False
AfD,1914240442905891043,Mon Apr 21 08:51:01 +0000 2025,RT @Alice_Weidel: Nach langer Krankheit verstarb Papst Franziskus am heutigen Ostermontag. Wir sprechen unser Beileid aus. https://t.co/1Je…,0,728,0,0,0,,de,False,False,,,,False
AfD,1913487675035693187,Sat Apr 19 06:59:47 +0000 2025,"Wir wünschen Frohe Ostern und ein erholsames langes Wochenende! 🐰

Und wenn neben der Ostereier-Suche noch etwas Zeit übrig bleibt: Leg Dir doch auch noch den AfD-Mitgliedsausweis ins Osternest - jetzt unter https://t.co/zZZNx1IuPJ informieren und Antrag ausfüllen! 💙 https://t.co/VbR0yn4nO9",4624,553,228,24,39,56197,de,False,True,http://mitmachen.afd.de,,,False
AfD,1912878314525512049,Thu Apr 17 14:38:24 +0000 2025,"AfD-Bundessprecherin @Alice_Weidel zu Messerverbotszonen im CDU-regierten Berlin: ""Diese Symbolpolitik verhöhnt jedes Opfer solcher Taten.""",1618,265,77,2,5,26201,de,True,False,,,,
