party,tweet_id,created_at,text,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,view_count,lang,is_quote,has_media,urls,hashtags,conversation_id,possibly_sensitive
FDP,1915368304279007557,Thu Apr 24 11:32:44 +0000 2025,RT @christianduerr: Drei Jahre ohne Wachstum – und der schwarz-rote Koalitionsvertrag wird das Ruder nicht herumreißen. Umfassende Steuerse…,0,6,0,0,0,,de,False,False,,,,
FDP,1914978316156621024,Wed Apr 23 09:43:03 +0000 2025,"RT @MarcoBuschmann: Union und SPD streiten jetzt schon schlimmer als die Ampel, machen eine linkere Finanzpolitik und jazzen die AfD auf ne…",0,31,0,0,0,,de,False,False,,,,
FDP,1914282422268498345,Mon Apr 21 11:37:49 +0000 2025,"RT @christianduerr: Der Tod von Papst Franziskus macht mich zutiefst traurig. Seine Bescheidenheit, sein Einsatz für die Ärmsten in der Ges…",0,5,0,0,0,,de,False,False,,,,
FDP,1914258831808344160,Mon Apr 21 10:04:05 +0000 2025,RT @MarcoBuschmann: Mit Papst Franziskus verlieren wir einen zeit seines Lebens bescheidenen und zugleich hartnäckigen Mahner für die Belan…,0,5,0,0,0,,de,False,False,,,,
FDP,1914247516071010672,Mon Apr 21 09:19:07 +0000 2025,"„Mit Papst Franziskus verlieren wir einen zeit seines Lebens bescheidenen und zugleich hartnäckigen Mahner für die Belange der Schwächsten in der Gesellschaft. Sein Wirken wird Bestand haben. Nicht nur, aber gerade auch sein Einsatz für die int. Diplomatie“, so @MarcoBuschmann.",47,2,4,0,0,3685,de,False,False,,,,
FDP,1912853667595637189,Thu Apr 17 13:00:28 +0000 2025,"RT @KubickiWo: Der Koalitionsvertrag ist ein Angriff auf die Meinungsfreiheit. Versuche, das zu relativieren, sind wenig überzeugend. Entwe…",0,750,0,0,0,,de,True,False,,,,
FDP,1912853589082415345,Thu Apr 17 13:00:09 +0000 2025,"RT @christianduerr: Es sind alarmierende Zahlen. Der Welthandel könnte in diesem Jahr um bis zu 1,5 Prozent einbrechen. Deutschland und Eur…",0,14,0,0,0,,de,False,False,,,,
FDP,1912813473244852593,Thu Apr 17 10:20:45 +0000 2025,"RT @MarcoBuschmann: Ich finde es ehrenhaft, wenn ein Politiker sich schwerpunktmäßig um seine Partei kümmern möchte.
Aber als Staatsbürger…",0,43,0,0,0,,de,False,False,,,,
FDP,1912807521229676984,Thu Apr 17 09:57:05 +0000 2025,"Die europaweit zweithöchste Steuerbelastung hemmt die wirtschaftliche Entwicklung. Es braucht Entlastungen. Aber: „Man sieht bei der Frage Steuersenkungen, die ganz wichtig sind für die Erholung der Wirtschaft, dass eine Konsensbildung nicht stattgefunden hat“, so @KubickiWo. https://t.co/BPh1FfOrPK",359,45,36,3,9,20263,de,False,True,,,,False
FDP,1912744752295948345,Thu Apr 17 05:47:40 +0000 2025,"RT @starkwatzinger: „Intifada bis zum Sieg“ ist ganz offensichtlich kein Ruf nach Frieden, sondern nach Vernichtung. Das rote Dreieck ist k…",0,77,0,0,0,,de,True,False,,,,
FDP,1912097558853263752,Tue Apr 15 10:55:57 +0000 2025,RT @KubickiWo: Großer Erfolg für meine Freunde der @FDPFraktionSH! Und großer Erkenntnisgewinn für CDU und Grüne: Mit Corona-Notkrediten ba…,0,222,0,0,0,,de,False,False,,,,
FDP,1912051840767631427,Tue Apr 15 07:54:17 +0000 2025,"➡️@MAStrackZi: „Wenn der zukünftige Bundeskanzler @_FriedrichMerz wirklich den Unterschied machen will, dann sollte er grünes Licht geben für den #Taurus.“ https://t.co/jONZhSXO3h",583,81,960,54,37,96333,de,False,True,,Taurus,,False
FDP,1911749879124152331,Mon Apr 14 11:54:24 +0000 2025,"RT @FNFreiheit: 🕊️Gestern verstarb der peruanische Schriftsteller, Politiker und Journalist Mario Vargas Llosa, einer der bedeutendsten Lit…",0,9,0,0,0,,de,False,False,,,,
FDP,1911733669699387835,Mon Apr 14 10:49:59 +0000 2025,"Viele Jahrzehnte war Mario Vargas Llosa eine prägende Stimme für Demokratie, Rechtsstaatlichkeit und Marktwirtschaft in ganz Lateinamerika. Im Jahr 2008 zeichnete die @FNFreiheit ihn mit dem Freiheitspreis aus. Sein Wirken wird nicht vergessen werden.
https://t.co/mHTrwSSo7M",53,6,1,1,0,2950,de,False,False,https://www.freiheit.org/de/zum-tod-von-mario-vargas-llosa,,,False
FDP,1911507155871842725,Sun Apr 13 19:49:54 +0000 2025,RT @christianduerr: Vier Tage nach Vorstellung des Koalitionsvertrags folgt schon die Rolle rückwärts. Hunderte Milliarden Euro an neuen Sc…,0,41,0,0,0,,de,False,False,,,,
FDP,1911334278920552853,Sun Apr 13 08:22:57 +0000 2025,"RT @KubickiWo: Die neuen Koalitionspartner versichern sich jetzt gegenseitig, dass sie jeweils ihre zentralen Wahlversprechen gebrochen hab…",0,355,0,0,0,,de,False,False,,,,
FDP,1910000115311394998,Wed Apr 09 16:01:28 +0000 2025,Mutlosigkeit und Enttäuschung. Damit fasst @christianduerr den Koalitionsvertrag zusammen. https://t.co/a1q1dHtdmu,431,68,122,9,13,17465,de,False,True,,,,False
FDP,1909967356442321307,Wed Apr 09 13:51:17 +0000 2025,"RT @KubickiWo: Vorratsdatenspeicherung, mehr Lauschangriffe (sogenannte „Quellen-TKÜ“), Verfolgung von Inhalten unterhalb der Strafbarkeits…",0,393,0,0,0,,de,False,False,,,,
FDP,1909899983559458999,Wed Apr 09 09:23:34 +0000 2025,"RT @KubickiWo: Markus Söder?
„Dazu will ich mich auch nicht mehr äußern. Der Mann vertritt im Zweifel alles.“ TK https://t.co/X49wD8QQXY",0,223,0,0,0,,de,False,True,,,,False
FDP,1909899860490264658,Wed Apr 09 09:23:05 +0000 2025,RT @MarcoBuschmann: Zölle machen die Welt ärmer. Denn sie blockieren die internationale Arbeitsteilung. Arbeitsteilung - und zwar auch inte…,0,25,0,0,0,,de,False,False,,,,
