party,tweet_id,created_at,text,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,view_count,lang,is_quote,has_media,urls,hashtags,conversation_id,possibly_sensitive
SPD,1915348854343401722,Thu Apr 24 10:15:26 +0000 2025,"RT @ManuelaSchwesig: Starke Debatten, gelebte Beteiligung – vielen Dank allen, die heute an der Dialogkonferenz zum Mitgliedervotum in Güst…",0,6,0,0,0,,de,False,False,,,,
SPD,1915138125195526456,Wed Apr 23 20:18:05 +0000 2025,RT @vorwaerts: Auf einer online-Konferenz zum @spdde-#Mitgliederentscheid über Schwarz-Rot warb Boris #Pistorius für ein Ja. Auch um die im…,0,5,0,0,0,,de,False,False,,"Mitgliederentscheid,Pistorius",,
SPD,1915036846448402798,Wed Apr 23 13:35:38 +0000 2025,"RT @spdbt: Über die Frage sicherer Renten wird zu oft herablassend geredet, sagt @larsklingbeil. 👉https://t.co/ZG5puaftox https://t.co/CHKM…",0,20,0,0,0,,de,False,False,"https://www.zeit.de/politik/deutschland/2025-04/klingbeil-rentenreform,",,,False
SPD,1915036081990570240,Wed Apr 23 13:32:36 +0000 2025,RT @ManuelaSchwesig: Hallo aus Güstrow in #MV. Hier diskutieren wir heute ab 17:00 Uhr über den Koalitionsvertrag Union &amp; SPD. Livestream:…,0,7,0,0,0,,de,False,False,,MV,,
SPD,1914946698230608008,Wed Apr 23 07:37:25 +0000 2025,"RT @Meyermit_ey: SPD-Chef Klingbeil will echte Rentenreform statt Erhöhung des Renteneintrittsalters. 

Über die Rente werde „zu oft herabl…",0,44,0,0,0,,de,False,False,,,,
SPD,1914662699344040217,Tue Apr 22 12:48:54 +0000 2025,"""Wir lassen beim Klimaschutz nicht locker. Deutschland bleibt Vorreiter. Klimaneutralität bis 2045 bleibt unser Ziel, und wir unterstützen sogar ein EU-Ziel von 90 Prozent weniger Emissionen bis 2040"", sagt unser Generalsekretär Matthias Miersch. 
https://t.co/Gt8IztnBRF",157,37,1577,82,32,104742,de,False,False,https://www.t-online.de/nachrichten/deutschland/bundestagswahl/id_100688654/spd-generalsekretaer-miersch-deutschland-ist-vorreiter-beim-klimaschutz-.html,EarthDay,,False
SPD,1913581061482705394,Sat Apr 19 13:10:52 +0000 2025,"RT @seeheimer: Die Debatte um einen normaleren Umgang mit der AfD, die Jens Spahn angestoßen hat, sei unnötig und falsch, erklärt unser Fra…",0,17,0,0,0,,de,False,False,,,,
SPD,1912926847236554983,Thu Apr 17 17:51:15 +0000 2025,RT @OlafScholz: Ich stimme für die Annahme des Koalitionsvertrages. Denn er bedeutet mehr Investitionen in unsere Sicherheit UND in die Zuk…,0,57,0,0,0,,de,False,False,,,,
SPD,1912418712457523256,Wed Apr 16 08:12:06 +0000 2025,"RT @vorwaerts: Nicht #SPD pur, aber auch kein #Merz-Fanclub – so werben @AnkeRehlinger und @hubertus_heil bei den @spdde-Mitgliedern für de…",0,6,0,0,0,,de,False,False,,"SPD,Merz",,
SPD,1912189712338465109,Tue Apr 15 17:02:08 +0000 2025,RT @MartinSchulz: Meine Gedanken zum Koalitionsvertrag. https://t.co/5kUdMHgKZ6,0,22,0,0,0,,de,False,True,,,,False
SPD,1911803367002718291,Mon Apr 14 15:26:56 +0000 2025,RT @ManuelaSchwesig: Demokratie pur. Unsere Mitglieder entscheiden! Deshalb diskutieren wir heute über den Koalitionsvertrag in Hannover. F…,0,9,0,0,0,,de,False,False,,,,
SPD,1911679821182087198,Mon Apr 14 07:16:01 +0000 2025,RT @ARD_BaB: „Das wird die Aufgabe dieser Regierung sein und da gibt es kein Wackeln drin“ – SPD-Chef @larsklingbeil im #BerichtausBerlin ü…,0,15,0,0,0,,de,False,False,,BerichtausBerlin,,
SPD,1911676984914047042,Mon Apr 14 07:04:45 +0000 2025,RT @ARD_BaB: „Dazu gehört dann auch ein Kanzler Friedrich Merz“ – SPD-Chef @larsklingbeil wirbt im #BerichtausBerlin für die schwarz-rote K…,0,25,0,0,0,,de,False,False,,BerichtausBerlin,,
