party,tweet_id,created_at,text,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,view_count,lang,is_quote,has_media,urls,hashtags,conversation_id,possibly_sensitive
dieLinke,1915336965567787482,Thu Apr 24 09:28:12 +0000 2025,RT @inesschwerdtner: 😌 https://t.co/pkuENgWyvp,0,103,0,0,0,,qme,False,True,,,,False
dieLinke,1915003483821953038,Wed Apr 23 11:23:04 +0000 2025,"RT @EhlingJanis: Dieses Land wurde über Jahrzehnte kaputtgespart – ausgerechnet bei der Infrastruktur, die wir alle täglich brauchen. Es br…",0,9,0,0,0,,de,False,False,,,,
dieLinke,1915003442172510376,Wed Apr 23 11:22:54 +0000 2025,"RT @EhlingJanis: Was die US-Bürgerinnen und-bürger brauchen und wollen, ist Trump egal. Wenn aber die Börsenkurse schwanken, steuert Trump…",0,7,0,0,0,,de,False,False,,,,
dieLinke,1914720993089630334,Tue Apr 22 16:40:33 +0000 2025,"RT @dielinkebt: Unsere https://t.co/chODjNk2k5 deckt auf: 1.000.000 Euro könnten Mieter*innen sparen, wenn überhöhte Mieten konsequent abge…",0,54,0,0,0,,de,False,False,http://mietwucher.app,,,False
dieLinke,1914714812661064017,Tue Apr 22 16:15:59 +0000 2025,"RT @AtesGuerpinar: Krisenjahr 2024: DAX-CEOs kassieren 231 Mio €, VW streicht Jobs, Blume sahnt 10 Mio ab. Während Konzerne Milliarden sche…",0,60,0,0,0,,de,False,False,,,,
dieLinke,1914626050799108100,Tue Apr 22 10:23:17 +0000 2025,"RT @LINKEPELLI: Wohnen in Leipzig ist nicht nur schön, sondern vor allem teuer!
Im vergangenen Jahr haben wir deshalb unsere Mietwucherapp…",0,27,0,0,0,,de,False,False,,,,
dieLinke,1914267739985764709,Mon Apr 21 10:39:29 +0000 2025,"Mit Papst Franziskus verliert die Welt einen Anwalt der Armen und Ausgegrenzten.
-&gt; https://t.co/1WEhCdVWFL https://t.co/kc4fK3apxr",1953,248,212,32,58,72592,de,False,True,https://www.die-linke.de/start/presse/detail/franziskus-mitgefuehl-galt-den-ausgestossenen-der-welt/,,,False
dieLinke,1914254058438734139,Mon Apr 21 09:45:07 +0000 2025,"RT @jan_vanaken: Mit Papst Franziskus verliert die Welt einen Anwalt der Armen und Ausgegrenzten. 

https://t.co/oKsaI0l4nr",0,64,0,0,0,,de,False,False,https://www.die-linke.de/start/presse/detail/franziskus-mitgefuehl-galt-den-ausgestossenen-der-welt/,,,False
dieLinke,1913904292517359898,Sun Apr 20 10:35:16 +0000 2025,"RT @LINKEPELLI: Schöne Ostern - um die gerechte Verteilung kümmern wir uns😉
#dielinke #ostern #leipzig https://t.co/W9fyqiBKcu",0,25,0,0,0,,de,False,True,,"dielinke,ostern,leipzig",,False
dieLinke,1913904180340588976,Sun Apr 20 10:34:49 +0000 2025,RT @inesschwerdtner: Dann kündigen wir unangenehme Proteste an,0,362,0,0,0,,de,True,False,,,,
dieLinke,1913876211370991622,Sun Apr 20 08:43:41 +0000 2025,"Frohe Ostern! 🐣🌷
Wir wünschen euch entspannte Feiertage mit euren Liebsten, Zeit zum Durchatmen und neue Kraft für alles, was ansteht.
Gerade in diesen Zeiten sind Zusammenhalt, Fürsorge und Solidarität wichtiger denn je.
Niemals alleine. Immer gemeinsam. https://t.co/3ozk9y0EKr",280,44,111,2,2,13826,de,False,True,,,,False
dieLinke,1913279927140454824,Fri Apr 18 17:14:16 +0000 2025,"RT @jan_vanaken: Die Mehrheit will, dass die Reichen und Superreichen den arbeitenden Menschen endlich den Reichtum zurückgeben, den wir al…",0,219,0,0,0,,de,False,False,,,,
dieLinke,1913168966052086211,Fri Apr 18 09:53:21 +0000 2025,"RT @LINKEPELLI: Heute vor 80 Jahren, am 18. April 1945 wurde Leipzig befreit – das Ende des Faschismus, der Anfang neuer Hoffnung. Diese Er…",0,27,0,0,0,,de,False,False,,,,
dieLinke,1912937600714686741,Thu Apr 17 18:33:59 +0000 2025,Schwarz-Rot will über die Körperschaftsteuer Milliarden-Geschenke an Superreiche &amp; Konzerne verteilen. Die Einkommensteuer-Reform für kleine &amp; mittlere Einkommen wird dagegen auf die lange Bank geschoben und unter Finanzierungsvorbehalt gestellt. Wir brauchen Entlastung - jetzt! https://t.co/vFAhlZcyAM,169,46,48,0,0,8588,de,False,True,,,,False
dieLinke,1912911261924286848,Thu Apr 17 16:49:19 +0000 2025,RT @dielinkebt: Zwei Profis im Schnellsprechen spielen ein Debattierspiel - das könnt  ihr ab heute Abend 20 Uhr in der ARD Mediathek sehen…,0,44,0,0,0,,de,False,False,,,,
dieLinke,1912805080652206456,Thu Apr 17 09:47:24 +0000 2025,"RT @inesschwerdtner: Jens Spahn ist der Kanzler in Wartehaltung, der sich für eine Zusammenarbeit mit den Rechten bereit macht.",0,182,0,0,0,,de,False,False,,,,
dieLinke,1912788836339351594,Thu Apr 17 08:42:51 +0000 2025,RT @Links_Bewegt: Was können wir von der neuen Koalition erwarten? Spoiler: Politik für die Reichen und Unternehmen. Vielleicht kommt der 1…,0,8,0,0,0,,de,False,False,,,,
dieLinke,1912780814804291721,Thu Apr 17 08:10:58 +0000 2025,"RT @jan_vanaken: Viele sorgen sich um Europas Sicherheit – zurecht. 
Aber: 🛑 Die Wehrpflicht ist keine Lösung.
Sie ist ungerecht, teuer &amp; i…",0,38,0,0,0,,de,False,False,,,,
dieLinke,1912549796625240317,Wed Apr 16 16:52:59 +0000 2025,Der Koalitionsvertrag im MIETEN-CHECK: Aus Sicht von Mieterinnen &amp; Mietern ist der Koalitionsvertrag eine Enttäuschung. Es fehlen wirksame Maßnahmen zur Mietpreisregulierung. Stattdessen feiern sich die Koalitionäre für die Verlängerung der zahnlosen Mietpreisbremse. (1/2) https://t.co/7dxpWtt8tA,75,28,12,1,4,3819,de,False,True,,,,False
