bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Baden-Württemberg,CDU,001,Frei,Thorsten,"MdB, Jurist",1973,Schwarzwald-Baar,286
Baden-Württemberg,CDU,002,Warken,Nina Ingrid,"MdB, Rechtsanwältin",1979,Odenwald – Tauber,276
Baden-Württemberg,CDU,003,Jung,Andreas,"MdB, Rechtsanwalt",1975,Konstanz,287
Baden-Württemberg,CDU,004,Kemmer,Ronja Helene,"MdB, Volkswirtin",1989,Ulm,291
Baden-Württemberg,CDU,005,Stumpp,Christina Daniela,"MdB, Steuerrechtlerin (LL. B.)",1987,Waiblingen,264
Baden-Württemberg,CDU,006,Föhr,Alexander Paul,"MdB, ltd. Angestellter im Gesundheitswesen",1980,Heidelberg,274
Baden-Württemberg,CDU,007,Sekmen,Melis,Mitglied des Deutschen Bundestages,1993,Mannheim,275
Baden-Württemberg,CDU,008,Schick-Ebert,Elisabeth,selbst. Dipl.-Volkswirtin,1966,Stuttgart I,258
Baden-Württemberg,CDU,009,Mörseburg,Maximilian Rick,"MdB, Rechtsanwalt",1992,Stuttgart II,259
Baden-Württemberg,CDU,010,Hummel,Lilly,Rechtsreferendarin,2000,,
Baden-Württemberg,CDU,011,Dr. Schüle,Klaus Thomas,"Jurist, Verwaltungsbeamter",1963,Freiburg,281
Baden-Württemberg,CDU,012,Dr. Schmid-Nürnberg,Sarah,Referatsleiterin,1989,,
Baden-Württemberg,CDU,013,Natterer,Christian Josef,"Dipl.-Kaufmann, Manager",1981,,
Baden-Württemberg,CDU,014,Färber,Hermann Klaus,"MdB, Landwirtschaftsmeister",1963,Göppingen,263
Baden-Württemberg,CDU,015,Horb,Margaret,Dipl.-Finanzwirt (FH),1967,,
Baden-Württemberg,CDU,016,Jäger,Carmen Alexandra,"Studienreferendarin, Dipl.-Rechtspflegerin (FH)",1993,,
Baden-Württemberg,CDU,017,Lanig,Marie-Sophie Hedwig,Policy Advisor Recht und Politik,1995,,
Baden-Württemberg,CDU,018,Kurz,Silke Deborah,Fachanwältin Steuerrecht,1975,,
Baden-Württemberg,CDU,019,Freudenmann-Habel,Ellen Joanna,Geschäftsführerin Transportunternehmen,1984,,
Baden-Württemberg,CDU,020,Märsch,Robert,Wirtschaftswissenschaftler (M. Sc.),1986,,
Baden-Württemberg,CDU,021,Huber,Vera Gerlinde,Erzieherin,1981,,
Baden-Württemberg,CDU,022,Borchard,Pauline,wissenschaftl. Mitarbeiterin Steuerrecht,2000,,
Baden-Württemberg,CDU,023,Möhle,Karin Doris,"Beamtin, Dipl.-Volkswirtin",1962,,
Baden-Württemberg,CDU,024,Schwarz,Gordian Felix,Student,2000,,
Baden-Württemberg,CDU,025,Kolb,Leon Paul,Politikwissenschaftler,1998,,
Baden-Württemberg,CDU,026,Ockenfuß,Felix Wilhelm,Kreisamtmann,1989,,
Baden-Württemberg,CDU,027,Hradecky,Denise Marie,Geschäftsführerin,1981,,
Baden-Württemberg,CDU,028,Noseck,Heinrich Hermann Volker,Dipl.-Ingenieur,1954,,
Baden-Württemberg,CDU,029,Mayer,Julia Brigitte,Verwaltungsbeamtin,1999,,
Baden-Württemberg,CDU,030,Staib,Rainer Martin,Polizeihauptkommissar,1969,,
Baden-Württemberg,CDU,031,Apel,Dominik Markus,Richter,1994,,
Baden-Württemberg,CDU,032,Sakal,Lars Henrik,Polizeioberkommissar,1997,,
Baden-Württemberg,CDU,033,Csikova,Jessica Elisa,Wirtschaftsjuristin,1998,,
Baden-Württemberg,CDU,034,Ruß,Nico,"persönl. Referent, selbständig",1994,,
Baden-Württemberg,CDU,035,Kastner,Christian,selbständig,1974,,
Baden-Württemberg,CDU,036,Rombach,Silke Stephanie,Portfoliomanagerin,1991,,
Baden-Württemberg,CDU,037,Merkel,Hero Katharina,Geschäftsführerin,1996,,
Baden-Württemberg,CDU,038,Groschupp,Anette Waltraud,Rechtsassessorin,1971,,
Baden-Württemberg,CDU,039,Mänder,Valérie Estelle,"Wirtschaftsprüferin, Steuerberaterin",1989,,
Baden-Württemberg,CDU,040,Liebert,Heidi,Finanzvorständin,1970,,
Baden-Württemberg,CDU,041,Wiesner,Felix Alexander,Chief Strategy Officer,1996,,
Baden-Württemberg,CDU,042,Speiser,Patrick Chris Julian,"Student, Geschäftsführer",1998,,
Baden-Württemberg,CDU,043,Flik,Ann-Kathrin,Verwaltungsbeamtin,1989,,
Baden-Württemberg,CDU,044,Lehmann,Felix,Regierungsoberinspektoranwärter,2000,,
Baden-Württemberg,CDU,045,Funke,Daniel,Doktorand der Geschichts- und Politikwissenschaften,1996,,
Baden-Württemberg,CDU,046,Schmid,Patricia,Studentin,2000,,
Baden-Württemberg,CDU,047,Pfohl,Hans Dieter,Dipl.-Ingenieur,1955,,
Baden-Württemberg,CDU,048,Vassiliadis,Athanassia,Dozentin Erwachsenenbildung,1967,,
Baden-Württemberg,CDU,049,Hoffmann,Klaus Josef,Bürgermeister,1960,,
Baden-Württemberg,CDU,050,Zink-Colacicco,Alexandra,selbständig,1976,,
Baden-Württemberg,CDU,051,Senn,Yannik Thomas,Betriebswirt (B. A.),1996,,
Baden-Württemberg,CDU,052,Zalder,Hanns Christoph,Leiter im Einkauf,1967,,
Baden-Württemberg,CDU,053,Schmidt-Weiss,Stephanie,Steuerberaterin,1968,,
Baden-Württemberg,CDU,054,Domat,Lisa,Studentin,1999,,
Baden-Württemberg,CDU,055,Mattes,Tizian Paul,Student,2001,,
Baden-Württemberg,CDU,056,Avci,Hasan Basri,"Senior Manager, Wirtschaftsfachwirt",1988,,
Baden-Württemberg,CDU,057,Lutz,Gerhard Bernhard,"Honorarprofessor, selbst. Ingenieur",1956,,
Baden-Württemberg,CDU,058,Neidig,Lance Jordan,Student,1997,,
Baden-Württemberg,CDU,059,Große,Elvira Corinna,Hebamme,1979,,
