bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Bayern,CSU,001,Dobrindt,Alexander,"MdB, Dipl.-Soziologe",1970,Weilheim,225
Bayern,CSU,002,Lindholz,Andrea,"MdB, Rechtsanwältin",1970,Aschaffenburg,246
Bayern,CSU,003,Felßner,Günther,Landwirt,1966,,
Bayern,CSU,004,Ludwig,Daniela,"MdB, Dipl.-Juristin",1975,Rosenheim,221
Bayern,CSU,005,Rainer,Alois Georg Josef,"MdB, Metzgermeister",1965,Straubing,230
Bayern,CSU,006,Bär,Dorothee Gisela Renate Maria,Mitglied des Deutschen Bundestages,1978,Bad Kissingen,247
Bayern,CSU,007,Hahn,Florian Peter,Mitglied des Deutschen Bundestages,1974,München-Land,220
Bayern,CSU,008,Zeulner,Emmi,Mitglied des Deutschen Bundestages,1987,Kulmbach,239
Bayern,CSU,009,Dr. Pilsinger,Stephan Nikolaus,"MdB, Hausarzt",1987,München-West/Mitte,219
Bayern,CSU,010,Englhardt-Kopf,Martina,"MdB, Studiendirektorin a. D.",1981,Schwandorf,233
Bayern,CSU,011,Brehm,Sebastian Alfred,"MdB, Steuerberater",1971,Nürnberg-Nord,243
Bayern,CSU,012,Dr. Weisgerber,Anja,"MdB, Rechtsanwältin",1976,Schweinfurt,249
Bayern,CSU,013,Frieser,Michael Edwin,"MdB, Rechtsanwalt",1964,Nürnberg-Süd,244
Bayern,CSU,014,Wittmann,Mechthilde,Mitglied des Deutschen Bundestages,1967,Oberallgäu,256
Bayern,CSU,015,Dr. Ullrich,Volker Michael,"MdB, Jurist, Dipl.-Kaufmann",1975,Augsburg-Stadt,251
Bayern,CSU,016,Staffler,Katrin,Mitglied des Deutschen Bundestages,1981,Fürstenfeldbruck,214
Bayern,CSU,017,Baumgartner,Günter,Sparkassenbetriebswirt,1975,Rottal-Inn,229
Bayern,CSU,018,Küng,Claudia,Dipl.-Volkswirtin,1964,München-Süd,218
Bayern,CSU,019,Dr. Theiss,Hans Diogenes,Arzt,1977,München-Nord,216
Bayern,CSU,020,Dr. Launert,Silke,Mitglied des Deutschen Bundestages,1976,Bayreuth,236
Bayern,CSU,021,Dr. Körner,Konrad,Rechtsanwalt,1992,Erlangen,241
Bayern,CSU,022,Hierl,Susanne,"MdB, Rechtsanwältin",1973,Amberg,231
Bayern,CSU,023,Rohrmoser,Josef,Personalleiter,1997,,
Bayern,CSU,024,Dr. Kössinger,Julia Christina Katharina,Oberregierungsrätin,1993,,
Bayern,CSU,025,Rupprecht,Albert Robert,"MdB, Dipl.-Volkswirt",1968,Weiden,234
Bayern,CSU,026,Dr. Düber,Hülya,Sozialreferentin,1978,Würzburg,250
Bayern,CSU,027,Dr. Fabritius,Bernd-Bernhard,Rechtsanwalt,1965,,
Bayern,CSU,028,Zintl,Irmgard Sofie,Hauswirtschaftsmeisterin,1963,,
Bayern,CSU,029,Meier,Reiner,Dipl.-Verwaltungswirt (FH),1953,,
Bayern,CSU,030,Sontag-Lohmayer,Sophie Maria Dorothea,Politikwissenschaftlerin (M. Sc.),1992,,
Bayern,CSU,031,Hain,Heiko,Verwaltungsfachwirt,1982,Hof,238
Bayern,CSU,032,Prof. Dr. Wespel,Franziska,Beamtin,1981,,
Bayern,CSU,033,Moser,Christian Anton,Jurist,1989,Freising,213
Bayern,CSU,034,Auerhahn,Anna-Maria,Juristin,1996,,
Bayern,CSU,035,Koller,Johann Georg,Land- und Gastwirt,1971,Passau,228
Bayern,CSU,036,Freifrau von Waldenfels,Martina Annemarie Marianne Hanna,Landschaftsarchitektin,1975,,
Bayern,CSU,037,Hochrein,Claus,Landwirt,1974,,
Bayern,CSU,038,Edmeier,Sabrina,Rechtsanwältin,1995,,
Bayern,CSU,039,Schuster,Aron,Dipl.-Betriebswirt (FH),1984,,
Bayern,CSU,040,Renner,Nikola Yvonne Astrid,Justiziarin,1969,,
Bayern,CSU,041,Mörtl,Joseph Manfred,Doktorand,1999,,
Bayern,CSU,042,Dr. Ziegler,Katharina Maria,juristische Staatsbeamtin,1985,,
Bayern,CSU,043,Walk,Valentin Rupert,Regierungsbeamter,1996,,
Bayern,CSU,044,Polster,Lara,Wirtschaftspsychologin,1988,,
Bayern,CSU,045,Neumeyer,Niklas Martin Pabo,Pressesprecher,1992,,
Bayern,CSU,046,Fischer,Kathrin,Politik- und Kulturwissenschaftlerin,1985,,
Bayern,CSU,047,Süß,Michael,Bankkaufmann,2003,,
Bayern,CSU,048,Hoffmann-Baumstark,Bianca,Erzieherin,1980,,
Bayern,CSU,049,Rudrof,Constantin,wissenschaftl. Mitarbeiter,1997,,
Bayern,CSU,050,Kaiser,Sophia,Lehrkraft im Vorbereitungsdienst,1997,,
Bayern,CSU,051,van Laak,Yannick Maurice,Polizeihauptkommissar,1996,,
Bayern,CSU,052,Kohlmüller,Monika,Rechtsanwältin,1992,,
Bayern,CSU,053,Uhl,Daniel Rupert,Industriefachwirt,1998,,
Bayern,CSU,054,Rieß,Tanja,Industriekauffrau,1991,,
Bayern,CSU,055,Dr. Giersdorf,Fabian,Oberregierungsrat,1990,,
Bayern,CSU,056,Wenning,Simone,selbst. Modedesignerin,1977,,
Bayern,CSU,057,Thomas,Stephan,Lehrer,1980,,
Bayern,CSU,058,Lang,Julia,Gymnasiallehrerin,1982,,
Bayern,CSU,059,Huber,Valentin Alfred Rudolf,Student,1997,,
Bayern,CSU,060,Herding,Susanne,Industrietechnologin,1970,,
Bayern,CSU,061,Reusch,Robin,Baurat,1991,,
Bayern,CSU,062,Schrembs,Regina,Verwaltungsangestellte,1971,,
Bayern,CSU,063,Rose,Christian,Jurist,1983,,
Bayern,CSU,064,Barth,Birgit,Betriebswirtin,1972,,
Bayern,CSU,065,Barth,Frederik,Student,2002,,
Bayern,CSU,066,Haneberg,Sarah,wissenschaftl. Mitarbeiterin,1993,,
Bayern,CSU,067,Pursch,Julien,Dipl.-Finanzwirt (FH),1999,,
Bayern,CSU,068,Jakob,Gabriele Jessica,Rechtsanwältin,1972,,
Bayern,CSU,069,Lehrmann,Christian Hugo,Polizeibeamter,1980,,
Bayern,CSU,070,Haspel,Heike Karin,Personalsachbearbeiterin,1969,,
Bayern,CSU,071,Asenbauer,Johannes Michael,Automobilverkäufer,1992,,
Bayern,CSU,072,Rickl,Elisabeth,Studiendirektorin,1967,,
Bayern,CSU,073,Mudgal,Siddharth,Direktor Restrukturierung,1981,,
Bayern,CSU,074,Seiferlein,Corinna Sarah Christina,Sozialmanager (B. A.),1990,,
Bayern,CSU,075,Schmidbauer,Fabian Artur Ernst,Gymnasiallehrer,1992,,
Bayern,CSU,076,Burkhardt,Anja,Architektin,1968,,
Bayern,CSU,077,Brunkhorst,Ben,Student,2004,,
Bayern,CSU,078,Gräfin von Brühl-Störlein,Juliana Josephin,Studentin,2003,,
Bayern,CSU,079,Müller,Jonas Markus,Student,2002,,
Bayern,CSU,080,Bergmann,Silvia,Betriebswirtin i. R.,1959,,
Bayern,CSU,081,Helgert,Michael Georg,Elektromeister,1964,,
Bayern,CSU,082,Kaida,Florian Roland,wissenschaftl. Mitarbeiter,1999,,
Bayern,CSU,083,Stiegeler,David,Referent Bürgeranliegen und Kundenbeziehungsmanagement,1997,,
Bayern,CSU,084,Alfery,Johannes,Rechtsreferendar,1998,,
Bayern,CSU,085,Götz,Maximilian,Steuerberater,1987,,
Bayern,CSU,086,Prof. Dr. Dr. Ehlers,Alexander Paul Friedrich,Rechtsanwalt,1955,,
Bayern,CSU,087,Hänsel,Gottfried,Bankfilialdirektor i. R.,1951,,
Bayern,CSU,088,Kämmerer,Jan,Dipl.-Verwaltungswirt (FH),1999,,
Bayern,CSU,089,Stöckert,Philipp Karl Dimit'r,Jurist,1997,,
