bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Berlin,SPD,001,Stüwe,Ruppert Fritz Johannes,Dipl.-Volkswirt,1978,Berlin-Steglitz-Zehlendorf,078
Berlin,SPD,002,Klose,Annika Gisela,Mitglied des Deutschen Bundestages,1992,Berlin-Mitte,074
Berlin,SPD,003,Demir,Hakan,Mitglied des Deutschen Bundestages,1984,Berlin-Neukölln,081
Berlin,SPD,004,Trăsnea,Ana-Maria,Staatssekretärin a. D.,1994,Berlin-Treptow-Köpenick,083
Berlin,SPD,005,Kleebank,Helmut Heinrich,Mitglied des Deutschen Bundestages,1964,Berlin-Spandau – Charlottenburg Nord,077
Berlin,SPD,006,Taşan-Funke,Sinem,"Beamtin, Juristin",1992,Berlin-Tempelhof-Schöneberg,080
Berlin,SPD,007,Holter,Julian Gregor,wissenschaftl. Mitarbeiter,1983,Berlin-Reinickendorf,076
Berlin,SPD,008,Wend,Alexandra,"Juristin, Beamtin",1986,Berlin-Pankow,075
Berlin,SPD,009,Zimmerling,Jan,Beamter,1996,Berlin-Lichtenberg,085
Berlin,SPD,010,Sinnokrot,Carmen,Volljuristin,1978,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,082
Berlin,SPD,011,Schneider,Ben Thomas,Kommunikationsberater,1998,Berlin-Marzahn-Hellersdorf,084
Berlin,SPD,012,Dethlefsen,Anna,Verwaltungsfachwirtin,1988,,
Berlin,SPD,013,Nowak,Jörg Franz,selbständig,1971,,
Berlin,SPD,014,Wiemken,Urte,Juristin,1973,,
Berlin,GRÜNE,001,Paus,Elisabeth Maria,Mitglied des Deutschen Bundestages,1968,Berlin-Charlottenburg-Wilmersdorf,079
Berlin,GRÜNE,002,Audretsch,Andreas,Mitglied des Deutschen Bundestages,1984,Berlin-Neukölln,081
Berlin,GRÜNE,003,Stahr,Nina Elisabeth,Lehrerin,1982,Berlin-Steglitz-Zehlendorf,078
Berlin,GRÜNE,004,Steinmüller,Hanna Skrollan,Sozialwissenschaftlerin,1993,Berlin-Mitte,074
Berlin,GRÜNE,005,Tepper,Maren,Referentin,1981,Berlin-Marzahn-Hellersdorf,084
Berlin,GRÜNE,006,Esser,Annkatrin,"Studentin, Campaigner",1997,Berlin-Treptow-Köpenick,083
Berlin,GRÜNE,007,Ahmadi,Gollaleh,Mitglied des Abgeordnetenhauses Berlin,1982,Berlin-Spandau – Charlottenburg Nord,077
Berlin,GRÜNE,008,Dr. Heuberger,Moritz Sebastian,"Beamter, digitale Verwaltung",1991,Berlin-Tempelhof-Schöneberg,080
Berlin,GRÜNE,009,Giesemann,Elisabeth,Volontärin Unternehmenskommunikation,1988,Berlin-Lichtenberg,085
Berlin,GRÜNE,010,Schmidberger,Katrin,Mitglied des Abgeordnetenhauses Berlin,1982,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,082
Berlin,GRÜNE,011,Schneider,Julia,Mitglied des Abgeordnetenhauses Berlin,1990,Berlin-Pankow,075
Berlin,GRÜNE,012,Schedlich,Klara Josephine,Mitglied des Abgeordnetenhauses Berlin,2000,Berlin-Reinickendorf,076
Berlin,GRÜNE,013,Hacer,Aydemir,Studentin,1995,,
Berlin,GRÜNE,014,Hickel,Konrad,Informatikkaufmann,1982,,
Berlin,CDU,001,Dr. Luczak,Jan-Marco,Rechtsanwalt,1975,Berlin-Tempelhof-Schöneberg,080
Berlin,CDU,002,Dr. Klein,Ottilie Paola,"MdB, Abteilungsdirektorin",1984,Berlin-Neukölln,081
Berlin,CDU,003,Grasse,Adrian,Industrie- und Diplomkaufmann,1975,Berlin-Steglitz-Zehlendorf,078
Berlin,CDU,004,Schulz,Marvin,Angestellter im öffentlichen Dienst,1994,Berlin-Reinickendorf,076
Berlin,CDU,005,Dezember,Franziska,Angestellte,1992,Berlin-Pankow,075
Berlin,CDU,006,Krieger,Lukas Albrecht,"Rechtsanwalt, Syndikus",1987,Berlin-Charlottenburg-Wilmersdorf,079
Berlin,CDU,007,Kratzsch,Kevin,"Schausteller, Unternehmer",1982,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,082
Berlin,CDU,008,Schodrowski,Bernhard Jürgen,"Dipl.-Verwaltungswirt, Kommunikationsberater",1967,Berlin-Spandau – Charlottenburg Nord,077
Berlin,CDU,009,Weibeler,Aileen,Studentin,1999,,
Berlin,CDU,010,Trump,Katharina,Volljuristin,1988,,
Berlin,CDU,011,Heilmann,Thomas,Mitglied des Deutschen Bundestages,1964,,
Berlin,Die Linke,001,Dr. Gysi,Gregor Florian,Rechtsanwalt,1948,Berlin-Treptow-Köpenick,083
Berlin,Die Linke,002,Schwerdtner,Ines,Publizistin,1989,Berlin-Lichtenberg,085
Berlin,Die Linke,003,Gennburg,Katalin,Mitglied des Abgeordnetenhauses Berlin,1984,Berlin-Marzahn-Hellersdorf,084
Berlin,Die Linke,004,Meiser,Pascal,Politikwissenschaftler,1975,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,082
Berlin,Die Linke,005,Merendino,Ottavia Stella,Gesundheits- und Krankenpflegerin,1994,Berlin-Mitte,074
Berlin,Die Linke,006,Koçak,Ferat,Volkswirt,1979,Berlin-Neukölln,081
Berlin,Die Linke,007,Caballero Alvarez,Pilar,Politikwissenschaftlerin,1993,,
Berlin,Die Linke,008,Schenker,Niklas,Mitglied des Abgeordnetenhauses Berlin,1993,Berlin-Charlottenburg-Wilmersdorf,079
