bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Brandenburg,SPD,001,Scholz,Olaf,Rechtsanwalt,1958,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,061
Brandenburg,SPD,002,Wallstein,Maja Scarlett,Mitglied des Deutschen Bundestages,1986,Cottbus – Spree-Neiße,064
Brandenburg,SPD,003,Zierke,Stefan,"MdB, Tourismusfachwirt",1970,Uckermark – Barnim I,057
Brandenburg,SPD,004,Eichwede,Sonja Katharina,Richterin,1987,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,060
Brandenburg,SPD,005,Walter,Hannes Artur Gerhard,"MdB, Betriebswirt",1984,Elbe-Elster – Oberspreewald-Lausitz,065
Brandenburg,SPD,006,Fäscher,Ariane,Mitglied des Deutschen Bundestages,1968,Oberhavel – Havelland II,058
Brandenburg,SPD,007,Papendieck,Mathias,Informatiker,1982,Frankfurt (Oder) – Oder-Spree,063
Brandenburg,SPD,008,Papenbrock,Wiebke,Mitglied des Deutschen Bundestages,1979,Prignitz – Ostprignitz-Ruppin – Havelland I,056
Brandenburg,SPD,009,Ullrich,André,Polizeibeamter in der Bundespolizei,1974,,
Brandenburg,SPD,010,Koß,Simona Marion,Studienrätin,1961,Märkisch-Oderland – Barnim II,059
Brandenburg,SPD,011,Schulz,Reyk,Dipl.-Wirtschaftsingenieur (FH),1976,,
Brandenburg,SPD,012,Soheam,Anja Margarete,Referentin,1980,Dahme-Spreewald – Teltow-Fläming III,062
Brandenburg,SPD,013,Dr. Strank,Oliver,Rechtsanwalt,1979,,
Brandenburg,SPD,014,Karstädt,Bianca,kaufm. Geschäftsführerin,1974,,
Brandenburg,SPD,015,Belke,Jonas,Studienrat,1992,,
Brandenburg,SPD,016,Nauck,Sandra,Rechtsanwältin,1974,,
Brandenburg,SPD,017,Gallasch,Eric,Polizeibeamter,1985,,
Brandenburg,SPD,018,Syring,Angelika Gertraude Erika,Geschäftsführerin,1957,,
Brandenburg,SPD,019,Kuhne,Finn,Tischler,1997,,
Brandenburg,SPD,020,Jura,Annett,Abteilungsleiterin,1973,,
Brandenburg,AfD,001,Springer,René,Mitglied des Deutschen Bundestages,1979,Märkisch-Oderland – Barnim II,059
Brandenburg,AfD,002,Gnauck,Hannes,Mitglied des Deutschen Bundestages,1991,Uckermark – Barnim I,057
Brandenburg,AfD,003,Kleinwächter,Norbert,Mitglied des Deutschen Bundestages,1986,,
Brandenburg,AfD,004,Dr. Frömming,Götz Gerald Ulrich,Mitglied des Deutschen Bundestages,1968,Prignitz – Ostprignitz-Ruppin – Havelland I,056
Brandenburg,AfD,005,Schieske,Lars,Beamter im feuerwehrtechn. Dienst,1977,Cottbus – Spree-Neiße,064
