bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Hamburg,SPD,001,Schmidt,Wolfgang Walter,"Bundesminister, Jurist",1970,Hamburg-Eimsbüttel,020
Hamburg,SPD,002,Özoğuz,Saliha Aydan,"MdB, Staatsministerin a. D.",1967,Hamburg-Wandsbek,022
Hamburg,SPD,003,Hakverdi,Metin,"MdB, Volljurist",1969,Hamburg-Bergedorf – Harburg,023
Hamburg,SPD,004,Martin,Dorothee Katja Julia,Mitglied des Deutschen Bundestages,1978,Hamburg-Nord,021
Hamburg,SPD,005,Droßmann,Falko,"MdB, Soldat",1973,Hamburg-Mitte,018
Hamburg,SPD,006,Haffner,Lena Mailin,Rechtsanwältin,1989,,
Hamburg,SPD,007,Banerjee,Jens Susmit,Betriebsratsvorsitzender,1977,,
Hamburg,SPD,008,Sachdeva,Shewta,Schülerin,2006,,
Hamburg,SPD,009,Litau,Vladislav,Student,1998,,
Hamburg,SPD,010,Huntemann,Alica,"Tourismuskauffrau, Angestellte",1993,,
Hamburg,GRÜNE,001,Beck,Katharina Barbara Maria,Unternehmensberaterin Nachhaltigkeit,1982,Hamburg-Nord,021
Hamburg,GRÜNE,002,Dr. Steffen,Till Benjamin,Rechtsanwalt,1973,Hamburg-Eimsbüttel,020
Hamburg,GRÜNE,003,Heitmann,Linda,"MdB, Sozialwissenschaftlerin",1982,Hamburg-Altona,019
Hamburg,GRÜNE,004,Fester,Emilia Johanna,Regieassistentin,1998,Hamburg-Mitte,018
Hamburg,GRÜNE,005,Brodbeck,Lenka Alžběta,Beraterin Digitalisierung,1982,Hamburg-Bergedorf – Harburg,023
Hamburg,GRÜNE,006,Sarrazin,Manuel Ferdinand Theodor,Historiker,1982,Hamburg-Wandsbek,022
Hamburg,GRÜNE,007,Möller-Metzger,Christa,Journalistin,1951,,
Hamburg,GRÜNE,008,Pscherer,Sarah Leonie,Studentin,1999,,
Hamburg,GRÜNE,009,Brovtchenko,Ruth,Projektmanagerin,1996,,
Hamburg,GRÜNE,010,Schultz,Jonas Felix,Student,2006,,
Hamburg,CDU,001,Dr. Ploß,Christoph Johannes,Historiker,1985,Hamburg-Nord,021
Hamburg,CDU,002,Hoppermann,Franziska Christina Brigitte,"MdB, Senatsdirektorin",1982,Hamburg-Wandsbek,022
Hamburg,CDU,003,de Vries,Christoph Bernhard,"MdB, Dipl.-Soziologe",1974,Hamburg-Mitte,018
Hamburg,CDU,004,Dr. Heintze,Roland,Geschäftsführer,1973,Hamburg-Eimsbüttel,020
Hamburg,CDU,005,Groß,Clara-Sophie,Juristin,1997,Hamburg-Bergedorf – Harburg,023
Hamburg,CDU,006,Dr. Steffens,Kaja Christine,Ärztin,1967,Hamburg-Altona,019
Hamburg,CDU,007,Toprak,Ali Ertan,Unternehmer,1969,,
Hamburg,CDU,008,Hesse,Klaus-Peter Kurt,Kaufmann,1967,,
Hamburg,CDU,009,Dieball,Laura Aletta,Angestellte,1994,,
Hamburg,CDU,010,Dr. Gundelach,Herlind Magdalena,Senatorin a. D.,1949,,
Hamburg,CDU,011,Möller-Fiedler,Sybille Emma Johanna,Dipl.-Volkswirtin,1960,,
Hamburg,FDP,001,Schröder,Ria Irmtraut Claudia,Rechtsanwältin,1992,Hamburg-Eimsbüttel,020
Hamburg,FDP,002,Müller,Bo,Investmentberater,1996,Hamburg-Altona,019
Hamburg,FDP,003,Bläsing,Robert,Beamter,1982,Hamburg-Nord,021
Hamburg,FDP,004,Hauptmann,Max,Polizist,1988,Hamburg-Mitte,018
Hamburg,FDP,005,Gruhn-Bilic,Martina,Referentin,1970,Hamburg-Wandsbek,022
Hamburg,FDP,006,Dr. Gerlach,Philipp Herbert Friedrich,Unternehmensberater,1973,,
Hamburg,FDP,007,Zielinski,Mathias,Unternehmer,1975,,
Hamburg,FDP,008,Ciba,Sylwester,Historiker,1994,Hamburg-Bergedorf – Harburg,023
Hamburg,FDP,009,Fink,Maurice Julian,Psychologiestudentin,1995,,
Hamburg,FDP,010,Erdoğan,Ömer Faruk,Taxiunternehmer,1999,,
Hamburg,Die Linke,001,van Aken,Jan Paul,Biologe,1961,,
Hamburg,Die Linke,002,Özdemir,Cansu,Mitglied der Hamburgischen Bürgerschaft,1988,,
Hamburg,Die Linke,003,Tietjen,Insa,Lehrerin,1979,,
Hamburg,Die Linke,004,Iwan,Thomas,Bauingenieur,1985,Hamburg-Wandsbek,022
Hamburg,AfD,001,Dr. Baumann,Bernd,Kaufmann,1958,Hamburg-Altona,019
Hamburg,AfD,002,Dr. Wolf,Alexander Herbert,Rechtsanwalt,1967,Hamburg-Eimsbüttel,020
Hamburg,AfD,003,Walczak,Krzysztof Rafat,Jurist,1994,,
Hamburg,AfD,004,Mennerich,Benjamin,Offizier,1981,,
Hamburg,AfD,005,Heitmann,Peggy Petra,Dipl.-Betriebswirtin,1964,Hamburg-Wandsbek,022
Hamburg,Tierschutzpartei,001,Tarasov,Kirill,Musikpädagoge,1993,,
Hamburg,Tierschutzpartei,002,Tietschert,Juliane,"Dipl.-Finanzwirtin, Steuerberaterin",1991,,
Hamburg,Tierschutzpartei,003,Köll,Andreas Josef Wilhelm,Softwareentwickler,1990,,
Hamburg,Tierschutzpartei,004,Pfannkuche,Sven,Bürokaufmann,1976,,
Hamburg,Tierschutzpartei,005,Genski,Tanja Maria,"Theaterpädagogin, Tierschutzlehrerin",1971,,
Hamburg,Tierschutzpartei,006,Appel,Stephan Johannes Alexander,Gymnasiallehrer,1951,,
Hamburg,Tierschutzpartei,007,Alba Arteaga,Monika,Versicherungskauffrau,1955,,
Hamburg,Tierschutzpartei,008,Schwartz,Wilfried Wilhelm,Bankkaufmann i. R.,1950,,
Hamburg,Tierschutzpartei,009,Becker,Susanne Annegret,Rechtsanwältin,1965,,
Hamburg,Die PARTEI,001,Jähnke,Philipp,Politikwissenschaftler,1993,,
Hamburg,Die PARTEI,002,von Beichmann,Marc,Abschnittsleiter im öffentlichen Dienst,1981,,
