bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Hessen,SPD,001,Bartol,Sören,Dipl.-Politologe,1974,Marburg,170
Hessen,SPD,002,Schmidt,Dagmar,Historikerin,1973,Lahn-Dill,171
Hessen,SPD,003,Zorn,Armand,Unternehmensberater,1988,Frankfurt am Main I,181
Hessen,SPD,004,Faeser,Nancy,Juristin,1970,Main-Taunus,180
Hessen,SPD,005,Döring,Felix Maximilian,Mitglied des Deutschen Bundestages,1991,Gießen,172
Hessen,SPD,006,Dilcher,Esther,"Rechtsanwältin, Notarin",1965,Waldeck,166
Hessen,SPD,007,Rabanus,Martin Hermann,Mitglied des Deutschen Bundestages,1971,Rheingau-Taunus – Limburg,177
Hessen,SPD,008,Pawlik,Natalie,Mitglied des Deutschen Bundestages,1992,Wetterau I,176
Hessen,SPD,009,Dr. Rottwilm,Philipp,Bürgermeister,1984,Schwalm-Eder,169
Hessen,SPD,010,Wegling,Melanie,Mitglied des Deutschen Bundestages,1990,Groß-Gerau,183
Hessen,SPD,011,Dr. Zimmermann,Jens,Dipl.-Kaufmann,1981,Odenwald,186
Hessen,SPD,012,Ruf,Nadine,Mitglied des Deutschen Bundestages,1978,Wiesbaden,178
Hessen,SPD,013,Oehl,Jan Lennard,Volkswirt,1993,Hanau,179
Hessen,SPD,014,Fischer,Christine Ulrike,kaufm. Angestellte,1969,Fulda,173
Hessen,SPD,015,Bettermann,Daniel,Angestellter,1980,Kassel,167
Hessen,SPD,016,Wolf,Laura Helena,Maschinenbauingenieurin,1997,Offenbach,184
Hessen,SPD,017,Larem,Andreas,Mitglied des Deutschen Bundestages,1964,Darmstadt,185
Hessen,SPD,018,Voigt,Lena Friederike,Berufsschullehrerin,1993,Frankfurt am Main II,182
Hessen,SPD,019,Wingerter,Sven,Mobilitätsmanager,1980,Bergstraße,187
Hessen,SPD,020,Maiano,Julia,techn. Zeichnerin,1982,,
Hessen,SPD,021,Iliev,Daniel,Bürgermeister,1984,Werra-Meißner – Hersfeld-Rotenburg,168
Hessen,SPD,022,Özgüven,Handan,Rechtsanwältin,1973,,
Hessen,SPD,023,Wade,David,Rechtsanwalt,1993,Hochtaunus,175
Hessen,SPD,024,Breustedt,Michelle Susan,Angestellte,1993,,
Hessen,SPD,025,Neuner,Michael,Betriebs- und Volkswirt,1994,Main-Kinzig – Wetterau II – Schotten,174
Hessen,SPD,026,Altmayer,Laura,Sachbearbeiterin,1986,,
Hessen,SPD,027,Leudesdorff,Lino Rene,Geschäftsführer,1987,,
Hessen,SPD,028,Ayubi,Hella,Studentin,2001,,
Hessen,SPD,029,Yassin,Ilyas Aydrus,Student,2001,,
Hessen,SPD,030,Roese,Amelie Sophie,Studentin,2003,,
Hessen,SPD,031,Böcher,Jan Moritz,wissenschaftl. Mitarbeiter,1996,,
Hessen,SPD,032,Rausch,Julia,Studentin,2004,,
Hessen,SPD,033,Obst,Florian,Büroangestellter,1980,,
Hessen,SPD,034,Dirican,Sahime,Studentin,1986,,
Hessen,SPD,035,Schollmeier,Noah David,Student,1999,,
Hessen,SPD,036,Huf,Ulrike,Fachwirtin Sozial- und Gesundheitswesen,1985,,
Hessen,SPD,037,Abdirahman Farah,Liban,Angestellter,1993,,
Hessen,SPD,038,Massow,Sina,Bürgermeisterin,1988,,
Hessen,SPD,039,Ostrowski,Christopher,Angestellter,1993,,
Hessen,SPD,040,Raab,Katrin,Fachangestellte Bürokommunikation,1983,,
Hessen,SPD,041,Frimmel,Frederik,Student,1997,,
Hessen,SPD,042,Keim,Christel,Assistentin der Krankenhausleitung,1968,,
Hessen,SPD,043,Hobbs,Tiny Dietmar,Betriebsrat,1958,,
Hessen,SPD,044,Maraun,Lara,Studentin,2000,,
Hessen,SPD,045,Klippel,Bernd,Kommissionierer,1963,,
Hessen,SPD,046,Göbel,Petra,Rentnerin,1959,,
Hessen,SPD,047,Gebauer,Patrick,Sparkassenbetriebswirt,1991,,
Hessen,SPD,048,Oertel,Monika,Rentnerin,1960,,
Hessen,SPD,049,Heybeck,Benedict,wissenschaftl. Mitarbeiter,1998,,
Hessen,SPD,050,Dr. Falk,Dieter,Dipl.-Kaufmann,1956,,
Hessen,SPD,051,Firat,Tuna,Rechtsanwalt,1981,,
Hessen,SPD,052,Stroh,Julian,Verwaltungsfachangestellter,1997,,
Hessen,SPD,053,Sibert,Frank Bernd,Bankkaufmann,1967,,
Hessen,SPD,054,Sax,Wolfgang Friedrich,Rentner,1952,,
Hessen,SPD,055,Keim,Niklas,Verwaltungsfachwirt,1996,,
Hessen,SPD,056,Tanke,Patrick,Zeitsoldat,1987,,
Hessen,SPD,057,Wellinger,Sven,Verwaltungsangestellter,1993,,
Hessen,SPD,058,Müller,Stephan Martin,Angestellter,1965,,
Hessen,CDU,001,Lips,Patricia Ingrid,Handelsfachwirtin,1963,Odenwald,186
Hessen,CDU,002,Brand,Michael Karl,Mitglied des Deutschen Bundestages,1973,Fulda,173
Hessen,CDU,003,Dr. Meister,Michael Günther,Dipl.-Mathematiker,1961,Bergstraße,187
Hessen,CDU,004,Bischof,Anna-Maria Regina,Generalsekretärin,1989,Schwalm-Eder,169
Hessen,CDU,005,Born,Leopold Nikita Vincent,Angestellter,1993,Frankfurt am Main II,182
Hessen,CDU,006,Dr. Heck,Stefan,Mitglied des Deutschen Bundestages,1982,Marburg,170
Hessen,CDU,007,Dr. Mannes,Astrid Ursula Luise,Mitglied des Deutschen Bundestages,1967,Darmstadt,185
Hessen,CDU,008,Willsch,Klaus-Peter,Dipl.-Volkswirt,1961,Rheingau-Taunus – Limburg,177
Hessen,CDU,009,Koob,Markus Benjamin,Mitglied des Deutschen Bundestages,1977,Hochtaunus,175
Hessen,CDU,010,Linsenhoff,Ann Kathrin,selbständig,1960,,
Hessen,CDU,011,Altenkamp,Norbert Maria,Dipl.-Volkswirt,1972,Main-Taunus,180
Hessen,CDU,012,Simon,Björn Manuel,Politikwissenschaftler,1981,Offenbach,184
Hessen,CDU,013,Dr. Silbe,Katja,Professorin Baubetrieb,1971,,
Hessen,CDU,014,Pohlmann,Jan-Wilhelm,Mitglied des Landtages,1986,Waldeck,166
Hessen,CDU,015,Wiegelmann,Johannes Thomas Maria,Rechtsanwalt,1993,Main-Kinzig – Wetterau II – Schotten,174
Hessen,CDU,016,Melzer,Janna,Verwaltungsbeamtin,1992,,
Hessen,CDU,017,Bouffier,Frederik,Rechtsanwalt,1990,Gießen,172
Hessen,CDU,018,Volkmann,Johannes,Volkswirt,1996,Lahn-Dill,171
Hessen,CDU,019,Bunting,Anna Magdalena Ulrike,Doktorandin,1998,,
Hessen,CDU,020,Reddig,Pascal,Rechtsanwalt,1995,Hanau,179
Hessen,CDU,021,Schwander,Yannick,Pressesprecher,1988,Frankfurt am Main I,181
Hessen,CDU,022,Wagner,Katharina Elisabeth,Rechtsanwältin,1994,,
Hessen,CDU,023,Gebhard,Wilhelm,Bürgermeister,1976,Werra-Meißner – Hersfeld-Rotenburg,168
Hessen,CDU,024,Dr. Pauls,Thomas,Wirtschaftswissenschaftler,1986,Wetterau I,176
Hessen,CDU,025,Hildebrand,Maren,Lehrerin,1981,,
Hessen,CDU,026,Dr. Korbach,Stefan,Dipl.-Kaufmann,1958,Wiesbaden,178
Hessen,CDU,027,Dr. Behschad,Maik Fariborz,Zahnarzt,1969,Kassel,167
Hessen,CDU,028,Wiesmann,Bettina Margarethe,Mitglied des Deutschen Bundestages,1966,,
Hessen,CDU,029,Kretschmann,Marcus,Bürgermeister,1971,Groß-Gerau,183
Hessen,CDU,030,Hemmerich,Kai-Uwe,Betriebsratsvorsitzender,1969,,
Hessen,CDU,031,Dr. Martens,Olga,Herausgeberin,1969,,
