bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Mecklenburg-Vorpommern,SPD,001,Alabali-Radovan,Reem,"MdB, Politikwissenschaftlerin",1990,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012
Mecklenburg-Vorpommern,SPD,002,Junge,Frank Michael,"MdB, Diplomsportlehrer",1967,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,013
Mecklenburg-Vorpommern,SPD,003,Zschau,Katrin,"MdB, Landesgeschäftsführerin",1976,Rostock – Landkreis Rostock II,014
Mecklenburg-Vorpommern,SPD,004,von Malottki,Erik,Gewerkschaftler,1986,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016
Mecklenburg-Vorpommern,SPD,005,Kassautzki,Anna Katharina,"MdB, Staatswissenschaftlerin",1993,Vorpommern-Rügen – Vorpommern-Greifswald I,015
Mecklenburg-Vorpommern,SPD,006,Dr. Hertrich,Maximilian Franz,Chemiker,1991,,
Mecklenburg-Vorpommern,SPD,007,Freund,Vanessa,Büroleitung,1991,,
Mecklenburg-Vorpommern,SPD,008,Baetke,Stefan,rechtl. Betreuer,1980,,
Mecklenburg-Vorpommern,SPD,009,Schiefler,Sylvia,Pflegeberaterin,1967,,
Mecklenburg-Vorpommern,SPD,010,Umlauft,Alexandru-Nicolae,Informatiker,1992,,
Mecklenburg-Vorpommern,SPD,011,Becker,Silke,hauptamtliche Vorständin bei sozialem Träger,1972,,
Mecklenburg-Vorpommern,AfD,001,Holm,Leif-Erik,"MdB, Ökonom (M. Sc.)",1970,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012
Mecklenburg-Vorpommern,AfD,002,Komning,Enrico,Rechtsanwalt,1968,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016
Mecklenburg-Vorpommern,AfD,003,Seifert,Dario,Kaufmann Bürokommunikation,1994,Vorpommern-Rügen – Vorpommern-Greifswald I,015
Mecklenburg-Vorpommern,AfD,004,Schielke-Ziesing,Ulrike,Mitglied des Deutschen Bundestages,1969,Mecklenburgische Seenplatte II – Landkreis Rostock III,017
Mecklenburg-Vorpommern,AfD,005,Schmidt,Martin Lenin Wladimir,Dipl.-Kaufmann,1988,,
Mecklenburg-Vorpommern,AfD,006,Schnell,Robert,Angestellter,1987,,
Mecklenburg-Vorpommern,AfD,007,Reizlein,Peter,Dipl.-Kaufmann,1966,,
Mecklenburg-Vorpommern,CDU,001,Amthor,Philipp,"MdB, Jurist",1992,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016
Mecklenburg-Vorpommern,CDU,002,Borchardt,Simone,"MdB, Gesundheitsökonomin",1967,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,013
Mecklenburg-Vorpommern,CDU,003,Günther,Georg,Dipl.-Finanzwirt (FH),1988,Vorpommern-Rügen – Vorpommern-Greifswald I,015
Mecklenburg-Vorpommern,CDU,004,Dr. Bunge,Stephan,Verkehrsingenieur,1980,Mecklenburgische Seenplatte II – Landkreis Rostock III,017
Mecklenburg-Vorpommern,CDU,005,Monstadt,Dietrich,"MdB, Rechtsanwalt",1957,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012
Mecklenburg-Vorpommern,CDU,006,Ebert,Michael,Polizeibeamter,1970,Rostock – Landkreis Rostock II,014
Mecklenburg-Vorpommern,CDU,007,Müthel-Brenncke,Dorin,Dipl.-Kauffrau (FH),1968,,
Mecklenburg-Vorpommern,CDU,008,Gundlach,Jenny,Studentin,2003,,
Mecklenburg-Vorpommern,CDU,009,Dr. von Campenhausen,Sonja,Apothekerin,1971,,
Mecklenburg-Vorpommern,CDU,010,Noeske,Armin,Apotheker,1977,,
Mecklenburg-Vorpommern,Die Linke,001,Dr. Bartsch,Dietmar Gerhard,Mitglied des Deutschen Bundestages,1958,Rostock – Landkreis Rostock II,014
Mecklenburg-Vorpommern,Die Linke,002,Latendorf,Ina,Juristin,1971,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012
Mecklenburg-Vorpommern,Die Linke,003,Kanew,Amina Inèz,Antidiskriminierungsberaterin,1998,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016
Mecklenburg-Vorpommern,Die Linke,004,Herbst,Hennis,Politikwissenschaftler,1996,Vorpommern-Rügen – Vorpommern-Greifswald I,015
Mecklenburg-Vorpommern,Die Linke,005,Ebel,Maxi,Wirtschaftspsychologin (M. A.),1982,,
Mecklenburg-Vorpommern,Die Linke,006,Hehenkamp,Niklas,Elektroingenieur,1993,Mecklenburgische Seenplatte II – Landkreis Rostock III,017
Mecklenburg-Vorpommern,Die Linke,007,Urmoneit,Fabienne,Projektleiterin,1991,,
Mecklenburg-Vorpommern,FDP,001,Bartelt,Christian,Zahnarzt,1976,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016
Mecklenburg-Vorpommern,FDP,002,Kaufmann,Jens Tilo,Maler und Lackierer,1977,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,013
Mecklenburg-Vorpommern,FDP,003,Wagner,Niklas,Student,2002,Vorpommern-Rügen – Vorpommern-Greifswald I,015
Mecklenburg-Vorpommern,FDP,004,Schulz,Paul-Christian,selbständig,1999,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012
Mecklenburg-Vorpommern,FDP,005,Kelm,Nadine,Wirtschaftsjuristin,1986,,
Mecklenburg-Vorpommern,FDP,006,Richter,Kai-Uwe,Fuhrunternehmer,1987,Rostock – Landkreis Rostock II,014
Mecklenburg-Vorpommern,FDP,007,Porath,Daniel,strategischer Einkäufer,1980,,
