bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Niedersachsen,SPD,001,Klingbeil,Lars,"MdB, Parteivorsitzender",1978,Rotenburg I – Heidekreis,035
Niedersachsen,SPD,002,Möller,Siemtje Victoria Regine Ilse Santjer,Lehrerin,1983,Friesland – Wilhelmshaven – Wittmund,026
Niedersachsen,SPD,003,Pistorius,Boris Ludwig,"Jurist, Bundesminister",1960,Stadt Hannover II,042
Niedersachsen,SPD,004,Troff-Schaffarzyk,Anja Gerlinde,Mitglied des Deutschen Bundestages,1969,Unterems,025
Niedersachsen,SPD,005,Heil,Wolfgang-Hubertus Ernst Ulrich,"Politikwissenschaftler, Bundesminister",1972,Gifhorn – Peine,045
Niedersachsen,SPD,006,Stadler,Svenja,"MdB, Senior-PR-Beraterin",1976,Harburg,036
Niedersachsen,SPD,007,Dr. Miersch,Matthias,Rechtsanwalt,1968,Hannover-Land II,047
Niedersachsen,SPD,008,Heiligenstadt,Frauke,"MdB, Dipl.-Verwaltungswirtin",1966,Goslar – Northeim – Göttingen II,052
Niedersachsen,SPD,009,Rohde,Dennis,Mitglied des Deutschen Bundestages,1986,Oldenburg – Ammerland,027
Niedersachsen,SPD,010,Völlers,Marja-Liisa,"MdB, Studienrätin",1984,Nienburg II – Schaumburg,040
Niedersachsen,SPD,011,Saathoff,Johann,Mitglied des Deutschen Bundestages,1967,Aurich – Emden,024
Niedersachsen,SPD,012,Kreiser,Dunja Eleonore Angelika,Abwassermeisterin,1971,Salzgitter – Wolfenbüttel,049
Niedersachsen,SPD,013,Blankenburg,Jakob,Politikwissenschaftler,1997,Lüchow-Dannenberg – Lüneburg,037
Niedersachsen,SPD,014,Hennig,Anke,Mitglied des Deutschen Bundestages,1964,Osnabrück-Land,038
Niedersachsen,SPD,015,Schraps,Johannes,Mitglied des Deutschen Bundestages,1983,Hameln-Pyrmont – Holzminden,046
Niedersachsen,SPD,016,Schamber,Rebecca,Mitglied des Deutschen Bundestages,1975,Hannover-Land I,043
Niedersachsen,SPD,017,Schneider,Daniel Dominik,Mitglied des Deutschen Bundestages,1976,Cuxhaven – Stade II,029
Niedersachsen,SPD,018,Dr. De Ridder,Daniela Friederike,Mitglied des Deutschen Bundestages,1962,Mittelems,031
Niedersachsen,SPD,019,Dr. Pantazis,Christos,"MdB, Arzt",1975,Braunschweig,050
Niedersachsen,SPD,020,Rump,Daniela,Studentin Rechtswissenschaften,1996,Hildesheim,048
Niedersachsen,SPD,021,Bartz,Alexander,Mitglied des Deutschen Bundestages,1984,Cloppenburg – Vechta,032
Niedersachsen,SPD,022,Schierenbeck,Peggy,Mitglied des Deutschen Bundestages,1970,Diepholz – Nienburg I,033
Niedersachsen,SPD,023,Vaupel,Thomas Heinrich Peter,Referent der Bundestagsfraktion,1980,Stadt Osnabrück,039
Niedersachsen,SPD,024,Kadah,Özge,Wirtschaftsingenieurin,1996,Osterholz – Verden,034
Niedersachsen,SPD,025,Ahmetović,Adis,Mitglied des Deutschen Bundestages,1993,Stadt Hannover I,041
Niedersachsen,SPD,026,Hohmann,Anna Helga Angela,Sozialversicherungsfachangestellte i. R.,1963,Celle – Uelzen,044
Niedersachsen,SPD,027,Stern,Benjamin,Betriebsratsvorsitzender,1981,Helmstedt – Wolfsburg,051
Niedersachsen,SPD,028,Langen,Frauke Johanna,Fachkraft Arbeitssicherheit und Umweltschutz,1977,Stade I – Rotenburg II,030
Niedersachsen,SPD,029,Dr. Heinze,Thorsten,Dipl.-Chemiker,1965,Göttingen I,053
Niedersachsen,SPD,030,Suerkamp,Eva Maria,Lehrerin,1988,,
Niedersachsen,SPD,031,Atilgan,Hamza,selbst. Gastronom und Hotelier,1994,Delmenhorst – Wesermarsch – Oldenburg-Land,028
Niedersachsen,SPD,032,Wehrmaker,Inga,Richterin,1990,,
Niedersachsen,SPD,033,Szorec,Gregor,Feinmechaniker,1967,,
Niedersachsen,SPD,034,Römmeler,Michaela,Lehrerin,1972,,
Niedersachsen,SPD,035,Schütte,Jens-Uwe,Theologe,1979,,
Niedersachsen,SPD,036,Dr. Weber-Klatt,Karin,Richterin,1961,,
Niedersachsen,SPD,037,Wischnewski,Marek,Standesbeamter,1994,,
Niedersachsen,SPD,038,Wolff-Meuter,Annekatrin,"Büroleiterin, kaufm. Leiterin",1981,,
Niedersachsen,SPD,039,Schweer,Daniel,Bauingenieur,1982,,
Niedersachsen,SPD,040,Hirdes,Monika,Rentnerin,1953,,
Niedersachsen,SPD,041,Mouanga,Gregory Marcel,Jurist,1987,,
Niedersachsen,SPD,042,Feldmann,Karoline Johanna Friederike,Justitiarin,1973,,
Niedersachsen,SPD,043,Brandt,Sebastian,Softwareingenieur,1987,,
Niedersachsen,SPD,044,Fahncke,Barbara,Dipl.-Sozialpädagogin,1959,,
Niedersachsen,SPD,045,Seidel,Pascal,Betriebswirt,1999,,
Niedersachsen,SPD,046,Priester,Christiane Josefine,Geschäftsführerin,1968,,
Niedersachsen,SPD,047,Roiss,Patrick,"Dipl.-Informatiker, Unternehmensberater",1977,,
Niedersachsen,SPD,048,Eine,Annett,selbst. Reiseverkehrskauffrau,1975,,
Niedersachsen,SPD,049,Neessen,Philipp,Kaufmann,1995,,
Niedersachsen,SPD,050,Winter,Maria Ontina,Vorstandssekretärin,1966,,
Niedersachsen,SPD,051,Fischer,Simon,Student,2001,,
Niedersachsen,SPD,052,Oks,Ida,Studentin,2000,,
Niedersachsen,SPD,053,Wiesner,Jannes,Jurist,2001,,
Niedersachsen,SPD,054,Bade,Heike Ursula,Krankenschwester,1969,,
Niedersachsen,SPD,055,Erdbrink,Jonathan,Student,2000,,
Niedersachsen,SPD,056,Meyer,Janine,staatl. anerkannte Sozialpädagogin,1987,,
Niedersachsen,SPD,057,Podyma,Jan Edward,Student,1999,,
Niedersachsen,SPD,058,Siavwapa,Nina Katharina Sabine,Dipl.-Politologin,1982,,
Niedersachsen,SPD,059,Schmengler,Dominik,Angestellter im öffentlichen Dienst,1968,,
Niedersachsen,SPD,060,Piechotta,Nicole Helga,Sozialwissenschaftlerin,1987,,
Niedersachsen,SPD,061,Thieme,Luca Tom,Lehrer,1997,,
Niedersachsen,SPD,062,Gebauer,Jarla Annalena Cosima,Studentin,2001,,
Niedersachsen,SPD,063,Abdinghoff-Feldkemper,Olaf,Angestellter,1964,,
Niedersachsen,SPD,064,Fischer,Anna-Lena,Betriebswirtin,1995,,
Niedersachsen,SPD,065,Schramke,Jean-Pascale,Verwaltungsfachwirt,1999,,
Niedersachsen,SPD,066,Herzberg,Jessica,Einkaufsleiterin,1982,,
Niedersachsen,SPD,067,Hecker,Roland,Dipl.-Betriebswirt,1961,,
Niedersachsen,SPD,068,Rother,Isabel Antonia,juristische Referentin,1995,,
Niedersachsen,SPD,069,Robbe,Holger Jens,Politikwissenschaftler,1973,,
Niedersachsen,SPD,070,Kiecol,Josephine Emily,Studentin,2000,,
Niedersachsen,SPD,071,Tietz,Tim,Anlagenmechaniker,2002,,
Niedersachsen,SPD,072,Wills,Nadine,Fachfrau Versicherungen und Finanzanlagen (IHK),1983,,
Niedersachsen,SPD,073,Krug,Christian,Studienrat,1992,,
Niedersachsen,SPD,074,Primke,Sandra,Lehrerin,1974,,
Niedersachsen,SPD,075,Strecker,Maik,Hausmann,1966,,
