bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Nordrhein-Westfalen,SPD,001,Dr. Mützenich,Rolf Heinrich,Politikwissenschaftler,1959,Köln III,094
Nordrhein-Westfalen,SPD,002,Bas,Bärbel,Mitglied des Deutschen Bundestages,1968,Duisburg I,114
Nordrhein-Westfalen,SPD,003,Hartmann,Sebastian,Mitglied des Deutschen Bundestages,1977,Rhein-Sieg-Kreis I,096
Nordrhein-Westfalen,SPD,004,Schulze,Svenja,"MdB, Bundesministerin",1968,Münster,128
Nordrhein-Westfalen,SPD,005,Wiese,Dirk,Jurist,1983,Hochsauerlandkreis,146
Nordrhein-Westfalen,SPD,006,Heselhaus,Nadine,Verwaltungsbeamtin,1978,Borken II,125
Nordrhein-Westfalen,SPD,007,Rinkert,Daniel,Mitglied des Deutschen Bundestages,1987,Neuss I,107
Nordrhein-Westfalen,SPD,008,Abdi,Sanae,Vertrags- und Finanzmanagerin,1986,Köln I,092
Nordrhein-Westfalen,SPD,009,Schwartze,Stefan,"MdB, Industriemechaniker",1974,Herford – Minden-Lübbecke II,132
Nordrhein-Westfalen,SPD,010,Griese,Kerstin,Mitglied des Deutschen Bundestages,1966,Mettmann II,104
Nordrhein-Westfalen,SPD,011,Kaczmarek,Oliver,Oberregierungsrat,1970,Unna I,143
Nordrhein-Westfalen,SPD,012,Dr. Esdar,Wiebke,Dipl.-Psychologin,1984,Bielefeld – Gütersloh II,131
Nordrhein-Westfalen,SPD,013,Walter,Daniel,Referent,1991,Düren,089
Nordrhein-Westfalen,SPD,014,Lugk,Bettina,Mitglied des Deutschen Bundestages,1982,Märkischer Kreis II,149
Nordrhein-Westfalen,SPD,015,Coße,Jürgen,Mitglied des Deutschen Bundestages,1969,Steinfurt III,127
Nordrhein-Westfalen,SPD,016,Poschmann,Sabine,Betriebswirtin (VWA),1968,Dortmund II,142
Nordrhein-Westfalen,SPD,017,Dieren,Jan Ulrich,Rechtsanwalt,1991,Krefeld II – Wesel II,113
Nordrhein-Westfalen,SPD,018,Moll,Claudia,Altenpflegerin,1968,Aachen II,087
Nordrhein-Westfalen,SPD,019,Behrens,Jens,Bankkaufmann,1978,Soest,145
Nordrhein-Westfalen,SPD,020,Freiberger,Katrin,Hotelfachfrau,1976,Höxter – Gütersloh III – Lippe II,135
Nordrhein-Westfalen,SPD,021,Spielmanns,Aaron Luca,Landesbeamter,1998,Rhein-Erft-Kreis I,090
Nordrhein-Westfalen,SPD,022,Yüksel,Gülistan,Mitglied des Deutschen Bundestages,1962,Mönchengladbach,108
Nordrhein-Westfalen,SPD,023,Schwabe,Frank,Mitglied des Deutschen Bundestages,1970,Recklinghausen I,120
Nordrhein-Westfalen,SPD,024,Lahrkamp,Sarah,Mitglied des Deutschen Bundestages,1981,Steinfurt I – Borken I,123
Nordrhein-Westfalen,SPD,025,Schäfer,Ingo,Feuerwehrmann,1965,Solingen – Remscheid – Wuppertal II,102
Nordrhein-Westfalen,SPD,026,Licina-Bode,Luiza,"MdB, Volljuristin",1972,Siegen-Wittgenstein,147
Nordrhein-Westfalen,SPD,027,Waldmann,Johannes,Hauptschullehrer,1988,Coesfeld – Steinfurt II,126
Nordrhein-Westfalen,SPD,028,Rhie,Ye-One,Kommunikationswissenschaftlerin,1987,Aachen I,086
Nordrhein-Westfalen,SPD,029,Fiedler,Sebastian,Kriminalbeamter,1973,Mülheim – Essen I,117
Nordrhein-Westfalen,SPD,030,Dr. Martens,Zanda,Gewerkschaftssekretärin,1984,Düsseldorf I,105
Nordrhein-Westfalen,SPD,031,Reinhardt,Pascal,Gymnasiallehrer,1993,Oberbergischer Kreis,098
