bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Rheinland-Pfalz,SPD,001,Dr. Machalet,Tanja,Mitglied des Deutschen Bundestages,1974,Montabaur,203
Rheinland-Pfalz,SPD,002,Mieves,Matthias David,"MdB, Dipl.-Kaufmann",1985,Kaiserslautern,208
Rheinland-Pfalz,SPD,003,Hubertz,Verena Ute,"MdB, Unternehmerin",1987,Trier,202
Rheinland-Pfalz,SPD,004,Baldy,Daniel,"MdB, Lehrer",1994,Mainz,204
Rheinland-Pfalz,SPD,005,Mackensen-Geis,Isabel Larissa,Mitglied des Deutschen Bundestages,1986,Neustadt – Speyer,207
Rheinland-Pfalz,SPD,006,Dr. Rudolph,Thorsten,Mitglied des Deutschen Bundestages,1974,Koblenz,198
Rheinland-Pfalz,SPD,007,Glöckner,Angelika,"MdB, Verwaltungsfachwirtin",1962,Pirmasens,209
Rheinland-Pfalz,SPD,008,Schreider,Christian Willi Heribert,"MdB, Jurist",1971,Ludwigshafen/Frankenthal,206
Rheinland-Pfalz,SPD,009,Werner,Lena Heike,"MdB, Projektmanagerin",1994,Bitburg,201
Rheinland-Pfalz,SPD,010,Kurt,Umut,Lehrer,1995,Mosel/Rhein-Hunsrück,199
Rheinland-Pfalz,SPD,011,Härtel,Yildiz,kaufm. Angestellte,1966,Südpfalz,210
Rheinland-Pfalz,SPD,012,Trapp,Markus,Schornsteinfegermeister,1968,Worms,205
Rheinland-Pfalz,SPD,013,Dr. Weingarten,Joe,Mitglied des Deutschen Bundestages,1962,Kreuznach,200
Rheinland-Pfalz,SPD,014,Dr. Akaltin,Ferdi,Berufssoldat,1966,Ahrweiler,197
Rheinland-Pfalz,SPD,015,Hellinghausen,Jan,Gymnasiallehrer,1990,Neuwied,196
Rheinland-Pfalz,SPD,016,Oldenstein,Carolin,Angestellte,1987,,
Rheinland-Pfalz,SPD,017,Becker,Alexander,selbständig,1983,,
Rheinland-Pfalz,SPD,018,Löffel-Staßen,Alina,Studentin,2004,,
Rheinland-Pfalz,SPD,019,Scheib,Heiko,Sozialversicherungsfachangestellter,1966,,
Rheinland-Pfalz,SPD,020,Sauerwein,Pauline Charlotte,Politikwissenschaftlerin,1997,,
Rheinland-Pfalz,SPD,021,Rosenberg,David,Student,1996,,
Rheinland-Pfalz,SPD,022,Göbel,Theresa,Regionalmanagerin ländlicher Raum,1999,,
Rheinland-Pfalz,SPD,023,Schmitz,Leon,Student,2000,,
Rheinland-Pfalz,SPD,024,Seelig,Patricia,Verwaltungsfachwirtin,1996,,
Rheinland-Pfalz,SPD,025,Gerber,Christoph,Regierungsoberinspektor,1992,,
Rheinland-Pfalz,SPD,026,Slezak,Laura,Bildungsreferentin,1992,,
Rheinland-Pfalz,SPD,027,Dr. Kucharzewski,Tim,Dozent,1988,,
Rheinland-Pfalz,SPD,028,Seidenspinner,Aline,Personalreferentin,1997,,
Rheinland-Pfalz,SPD,029,Paetz,Tobias,Referent,1987,,
Rheinland-Pfalz,SPD,030,Kardos,Alexander,Kaufmann Dialogmarketing,2003,,
Rheinland-Pfalz,SPD,031,Huber-Aydemir,Stefan Oliver,Erzieher,1975,,
Rheinland-Pfalz,SPD,032,Dautermann,Robin,Student,2001,,
Rheinland-Pfalz,CDU,001,Klöckner,Julia,Mitglied des Deutschen Bundestages,1972,Kreuznach,200
Rheinland-Pfalz,CDU,002,Schnieder,Patrick,"MdB, Jurist",1968,Bitburg,201
Rheinland-Pfalz,CDU,003,Dr. Gebhart,Thomas,Mitglied des Deutschen Bundestages,1971,Südpfalz,210
Rheinland-Pfalz,CDU,004,Heil,Mechthild,"MdB, Dipl.-Ing. Architektin",1961,Ahrweiler,197
Rheinland-Pfalz,CDU,005,Metzler,Jan,"MdB, Dipl.-Betriebswirt",1981,Worms,205
Rheinland-Pfalz,CDU,006,Steiniger,Johannes Eberhard,Mitglied des Deutschen Bundestages,1987,Neustadt – Speyer,207
Rheinland-Pfalz,CDU,007,Groden-Kranich,Ursula,Bankkauffrau,1965,Mainz,204
Rheinland-Pfalz,CDU,008,Oster,Josef,Mitglied des Deutschen Bundestages,1971,Koblenz,198
Rheinland-Pfalz,CDU,009,Dr. Bröhr,Marlon Andreas Paul,Mitglied des Deutschen Bundestages,1974,Mosel/Rhein-Hunsrück,199
Rheinland-Pfalz,CDU,010,Demuth,Ellen,"MdL, Dipl.-Betriebswirtin",1982,Neuwied,196
Rheinland-Pfalz,CDU,011,Bilic,Florian,Hauptgeschäftsführer,1994,Pirmasens,209
Rheinland-Pfalz,CDU,012,Sienkiewicz,Dominik Franciszek,Polizeidirektor,1978,Trier,202
Rheinland-Pfalz,CDU,013,Bilgin,Sertac,Pflegedienstleiter,1981,Ludwigshafen/Frankenthal,206
Rheinland-Pfalz,CDU,014,Burgdörfer,Frank,Geschäftsführer,1972,Kaiserslautern,208
Rheinland-Pfalz,CDU,015,Orthey,Harald Stefan,Geschäftsführer,1968,Montabaur,203
Rheinland-Pfalz,CDU,016,Hauß,Christopher Ralf,Apotheker,1996,,
Rheinland-Pfalz,CDU,017,Dr. Brixius,Kristina,Unternehmensberaterin,1986,,
Rheinland-Pfalz,CDU,018,Gerster,Ulrike,Versicherungskauffrau,1974,,
Rheinland-Pfalz,CDU,019,Ropertz,Peter,Hauptgeschäftsführer,1986,,
Rheinland-Pfalz,CDU,020,Holzhäuser,Sylvia,OP-Fachkrankenschwester,1968,,
Rheinland-Pfalz,CDU,021,Fischer,Amal,Lehrerin,1979,,
Rheinland-Pfalz,CDU,022,Daniels,Ines,Hebamme,1972,,
Rheinland-Pfalz,CDU,023,Wagner,Nicole Marie,Studentin,1999,,
Rheinland-Pfalz,CDU,024,Brühl,Justus,Volljurist,1996,,
Rheinland-Pfalz,CDU,025,Hartmann,Marion,Studienrätin,1984,,
Rheinland-Pfalz,CDU,026,Balthasar-Schäfer,Stephanie Christine,pharma.-techn. Assistentin,1968,,
Rheinland-Pfalz,CDU,027,Pehlke,Kirsten,selbständig,1966,,
Rheinland-Pfalz,CDU,028,Hostert-Hack,Carolin,Theologin,1996,,
Rheinland-Pfalz,CDU,029,Totz,Karl-Heinz,Berufsoffizier a. D.,1947,,
Rheinland-Pfalz,CDU,030,Düll,Ursula Elisabeth,Richterin,1966,,
Rheinland-Pfalz,CDU,031,Brömmelhues,Caroline Carmen Sabine Hannelore,stellv. Filialleiterin,1999,,
Rheinland-Pfalz,CDU,032,Johler,Lena,Lehrerin,1993,,
Rheinland-Pfalz,GRÜNE,001,Khan,Misbah Sabeen,Mitglied des Deutschen Bundestages,1989,Neustadt – Speyer,207
Rheinland-Pfalz,GRÜNE,002,Dr. Grau,Armin Jürgen,"MdB, Arzt",1959,Ludwigshafen/Frankenthal,206
Rheinland-Pfalz,GRÜNE,003,Rüffer,Corinna Martina,"MdB, Politikerin",1975,Trier,202
Rheinland-Pfalz,GRÜNE,004,Joswig,Julian-Béla,Wirtschaftswissenschaftler,1993,Mosel/Rhein-Hunsrück,199
Rheinland-Pfalz,GRÜNE,005,Siegfried,Lea Babette,Physiotherapeutin,1993,Kaiserslautern,208
Rheinland-Pfalz,GRÜNE,006,Becherer,Thorsten,Ingenieur,1977,Mainz,204
Rheinland-Pfalz,GRÜNE,007,Theisen,Kim,Verwaltungsbeamtin,1999,Koblenz,198
Rheinland-Pfalz,GRÜNE,008,Heller,Hannah,Ökonomin,1990,,
Rheinland-Pfalz,GRÜNE,009,Pasuki,Sara,Studentin,2002,,
Rheinland-Pfalz,GRÜNE,010,Barmou,Obada,Student,1997,Südpfalz,210
Rheinland-Pfalz,GRÜNE,011,Örenbas,Verena,Juristin,1981,Ahrweiler,197
Rheinland-Pfalz,GRÜNE,012,Thieme,Thorben,Student,2002,Neuwied,196
Rheinland-Pfalz,GRÜNE,013,Daish,Katja,Softwareentwicklerin,1985,,
Rheinland-Pfalz,GRÜNE,014,Maaß,Yannik,Koch,1998,Montabaur,203
Rheinland-Pfalz,GRÜNE,015,Kircher-Zumbrink,Regine,Dipl.-Sozialarbeiterin,1962,Kreuznach,200
Rheinland-Pfalz,GRÜNE,016,Böhm,Lukas,Student,1998,Worms,205
Rheinland-Pfalz,FDP,001,Konrad,Carina,"MdB, Dipl.-Agraringenieurin (FH)",1982,Mosel/Rhein-Hunsrück,199
Rheinland-Pfalz,FDP,002,Dietz,David,Geschäftsführer,1981,Mainz,204
Rheinland-Pfalz,FDP,003,Stüber,Ralf Alexander,"Unternehmer, Gründungsberater",1994,Südpfalz,210
Rheinland-Pfalz,FDP,004,Voss,Jonathan,Student,2002,Koblenz,198
Rheinland-Pfalz,FDP,005,Hofmann,Bianca Maria Anna,Dipl.-Kauffrau,1967,Neustadt – Speyer,207
Rheinland-Pfalz,FDP,006,Kopp,Christian,Dipl.-Wirtschaftsingenieur,1977,Kaiserslautern,208
Rheinland-Pfalz,FDP,007,Röhl,Anna,Rechtsreferendarin,1996,Bitburg,201
Rheinland-Pfalz,FDP,008,Dr. Hermani,Ulrich Peter,Unternehmensberater,1948,Ahrweiler,197
Rheinland-Pfalz,FDP,009,Bruns,Patrick,"Bankkaufmann, Vermögensverwalter",1984,Kreuznach,200
Rheinland-Pfalz,FDP,010,von Nagel,Eric,Dipl.-Betriebswirt,1970,Ludwigshafen/Frankenthal,206
Rheinland-Pfalz,FDP,011,Fuchs,Pierre,Verwaltungssachbearbeiter,1986,Montabaur,203
Rheinland-Pfalz,FDP,012,Oberle,Anne,selbständig,1979,Pirmasens,209
Rheinland-Pfalz,FDP,013,Benzmüller,Gerd,Unternehmer,1971,Trier,202
Rheinland-Pfalz,FDP,014,Guntrum,Konstantin,Unternehmer,1970,Worms,205
