bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Saarland,SPD,001,Limbacher,Esra-Leon Ruben,Jurist,1989,Homburg,299
Saarland,SPD,002,Ortleb,Josephine Loulou,Restaurantfachfrau,1986,Saarbrücken,296
Saarland,SPD,003,Maaß,David Joachim Wilfried,Polizeibeamter,1984,Saarlouis,297
Saarland,SPD,004,Hans,Sandra,"Physiotherapeutin, selbst. Unternehmensberaterin",1979,,
Saarland,SPD,005,Moseler,Matthias Rudi,Betriebsrat,1961,,
Saarland,SPD,006,Friedrich,Tanja Margret,Gewerkschaftssekretärin,1976,,
Saarland,SPD,007,Meyer,Eric,"Geschäftsbereichsleiter, Dipl.-Betriebswirt (FH)",1979,,
Saarland,SPD,008,Herrmann,Nicole,Betriebswirtin,1980,,
Saarland,SPD,009,Schmidt,Stefan,Studienrat,1985,,
Saarland,SPD,010,Ney,Christine,Dipl.-Sozialpädagogin,1960,,
Saarland,SPD,011,Braun,Hans-Dieter Nikolaus,Rentner,1956,,
Saarland,SPD,012,Pfeiffer,Viola Marie,wissenschaftl. Referentin,1997,,
Saarland,CDU,001,Theis,Roland,Jurist,1980,St. Wendel,298
Saarland,CDU,002,Uhl,Markus Alexander,"MdB, Dipl.-Kaufmann",1979,Homburg,299
Saarland,CDU,003,Brück,Yvonne,"Industriekauffrau, Pferdewirtschaftsmeisterin",1972,Saarbrücken,296
Saarland,CDU,004,Hoffmann,Philip Maria Albert,Ökonom,1988,Saarlouis,297
Saarland,CDU,005,Wita,Saskia,Wirtschaftswissenschaftlerin,1995,,
Saarland,CDU,006,Wernet,Dana Maria,"Sozialpädagogin, Sozialarbeiterin (B. A.)",1990,,
Saarland,CDU,007,Müller,Christian,Verwaltungsbeamter,1982,,
Saarland,CDU,008,Kämpf,Lisa,Verwaltungsfachwirtin,1985,,
Saarland,CDU,009,Haßdenteufel,Christina,Dipl.-Betriebswirtin,1975,,
Saarland,CDU,010,Luxenburger,Jan-Philipp,"Senior Experte Zins, Währungs- und Rohstoffmanagement, Bankangestellter",1987,,
Saarland,CDU,011,Münzebrock,Carina,Volljuristin,1984,,
Saarland,CDU,012,Wirth,Susanne Elisabeth Ingrid,Dipl.-Verwaltungswirtin,1970,,
Saarland,CDU,013,Macri,Nicole,Regierungsbeschäftigte,1986,,
Saarland,CDU,014,Rupp,Vivien,Dipl.-Verwaltungswirtin (FH),1999,,
Saarland,CDU,015,Seger,Nikolas,Apotheker,1998,,
Saarland,CDU,016,Holderbaum,Sophie,Volljuristin,1994,,
Saarland,CDU,017,Speicher,Tobias,Beamtenanwärter,1997,,
Saarland,CDU,018,Tërstena,Dardan,Eisenbahner,1996,,
Saarland,CDU,019,Adam,Lena-Marie,"Dipl.-Juristin, Doktorandin",2000,,
Saarland,CDU,020,Math,Sabrina Margot,Lehrerin,1984,,
Saarland,FDP,001,Luksic,Oliver,Mitglied des Deutschen Bundestages,1979,St. Wendel,298
Saarland,FDP,002,König,Roland Helmut Horst,Geschäftsführer,1966,Saarbrücken,296
Saarland,FDP,003,Bierbrauer-Haupenthal,Gudrun,Oberstudienrätin,1976,Saarlouis,297
Saarland,FDP,004,Meyer,Danny Marlon,Kunsthistoriker,1997,,
Saarland,FDP,005,Dr. Kieser,Klaus Peter,Kulturmanager,1961,Homburg,299
Saarland,FDP,006,Reiter,Peter Willi Josef,Kriminalbeamter,1975,,
Saarland,FDP,007,Dr. Thewes,Hanno,Informationswissenschaftler,1963,,
Saarland,AfD,001,Becker,Carsten Roland,Facharbeiter,1990,Saarlouis,297
Saarland,AfD,002,Gamanov,Boris,Wirtschaftsfachwirt,1986,Saarbrücken,296
Saarland,AfD,003,Klesmann,Rüdiger Matthias,Kfz-Sachverständiger,1960,St. Wendel,298
Saarland,AfD,004,Shvydkyi,Olexij,Versicherungskaufmann,1979,Homburg,299
Saarland,AfD,005,Schwaben,Werner Heinz,Dachdecker,1961,,
Saarland,AfD,006,Schaufert,Magdalena Kamila,"wissenschaftl. Mitarbeiterin, Archäologin",1972,,
Saarland,Die Linke,001,Dr. Arndt,Michael Rudi,Arzt,1964,Homburg,299
Saarland,Die Linke,002,Pies,Jasmin,Restaurantfachfrau,1978,Saarbrücken,296
Saarland,Die Linke,003,Kreuter,Cornelia,Rentnerin,1960,,
Saarland,Die Linke,004,Reden-Buschbacher,Udo,Krankengymnast i. R.,1956,,
Saarland,Die Linke,005,Dietrich,Anne Maria,Studentin,2004,,
Saarland,Tierschutzpartei,001,Hacket,Hans Josef,selbständig,1960,,
Saarland,Tierschutzpartei,002,Bauer,Doris,Rentnerin,1956,,
Saarland,Tierschutzpartei,003,Lauer-Zimmermann,Sandra,Sozialversicherungsangestellte,1971,,
Saarland,Freie Wähler,001,Kammer,Uwe Andreas,"Berufsoffizier a. D., staatl. gepr. Techniker",1966,,
Saarland,Freie Wähler,002,Posse,Brandon Lee,freier Fotograf,1997,,
Saarland,Freie Wähler,003,Schlote,Uwe,"Kaufmann, Unternehmer",1963,Saarbrücken,296
Saarland,Freie Wähler,004,Kammerer,Axel Christopher,Unternehmer,1969,Homburg,299
Saarland,Freie Wähler,005,Brenner,Michael Christian,Sales Manager,1968,,
