bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Sachsen,AfD,001,Chrupalla,Tino,"MdB, Maler- und Lackierermeister",1975,Görlitz,156
Sachsen,AfD,002,Hilse,Karsten,"MdB, Polizeibeamter",1964,Bautzen I,155
Sachsen,AfD,003,Bachmann,Carolin,"MdB, Investmentfondskauffrau",1988,Mittelsachsen,160
Sachsen,AfD,004,Ladzinski,Thomas Max,Dipl.-Ing. Maschinenbau,1989,Dresden I,158
Sachsen,AfD,005,Kriegel,Christian,Ingenieurökonom,1956,Leipzig I,151
Sachsen,AfD,006,Dr. Gauland,Eberhardt Alexander,"MdB, Volljurist",1941,Chemnitz,161
Sachsen,AfD,007,Janich,Steffen,"MdB, Polizeibeamter a. D.",1971,Sächsische Schweiz-Osterzgebirge,157
Sachsen,AfD,008,Hütter,Carsten,"MdL, selbst. Handwerksmeister",1964,,
Sachsen,AfD,009,Moosdorf,Matthias,"MdB, Musiker",1965,Zwickau,164
Sachsen,AfD,010,Bochmann,René,"MdB, Bürokaufmann",1969,Nordsachsen,150
Sachsen,AfD,011,Neumann,Christoph,Dipl.-Ing.-Pädagoge,1964,Leipzig II,152
Sachsen,AfD,012,Winter,Heike,"Bibliothekarin, Unternehmerin",1962,,
Sachsen,AfD,013,Gottschalk,Frank Dirk,Betriebswirt,1985,,
Sachsen,AfD,014,Weiser,Mathias,kaufm. Leiter,1986,Vogtlandkreis,165
Sachsen,AfD,015,Dr. Waidmann,Stephan,Dipl.-Physiker,1967,,
Sachsen,AfD,016,Hein,René,Unternehmer,1965,,
Sachsen,SPD,001,Michel,Susanne Kathrin,Mitglied des Deutschen Bundestages,1963,Bautzen I,155
Sachsen,SPD,002,Mann,Holger,Mitglied des Deutschen Bundestages,1979,Leipzig I,151
Sachsen,SPD,003,Nasr,Rasha,Mitglied des Deutschen Bundestages,1992,Dresden I,158
Sachsen,SPD,004,Müller,Detlef,Lokomotivführer,1964,Chemnitz,161
Sachsen,SPD,005,Sthamer,Nadja,Mitglied des Deutschen Bundestages,1990,Leipzig II,152
Sachsen,SPD,006,Kasper,Carlos,Mitglied des Deutschen Bundestages,1994,Chemnitzer Umland – Erzgebirgskreis II,162
Sachsen,SPD,007,Mascheck,Franziska,Mitglied des Deutschen Bundestages,1979,Leipzig-Land,153
Sachsen,SPD,008,Funke,Fabian,Mitglied des Deutschen Bundestages,1997,Sächsische Schweiz-Osterzgebirge,157
Sachsen,SPD,009,Juraschka,Jens,Geschäftsführer,1974,Zwickau,164
Sachsen,SPD,010,Prause-Kosubek,Harald Holger,Angestellter,1971,Görlitz,156
Sachsen,SPD,011,Wittig,Heiko,Angestellter,1964,Nordsachsen,150
Sachsen,SPD,012,Dr. Heider,Silvio,Chemiker,1987,Erzgebirgskreis I,163
