bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Sachsen-Anhalt,SPD,001,Kröber,Martin,Mitglied des Deutschen Bundestages,1992,Magdeburg,069
Sachsen-Anhalt,SPD,002,Dr. Kersten,Franziska,"MdB, Tierärztin",1968,Börde – Salzlandkreis,067
Sachsen-Anhalt,SPD,003,Eigendorf,Eric,Jurist,1991,Halle,071
Sachsen-Anhalt,SPD,004,Bäse,Diana,Dipl.-Soziologin,1984,Anhalt – Dessau – Wittenberg,070
Sachsen-Anhalt,SPD,005,Dr. Wollmann,Herbert,"MdB, Arzt",1951,Altmark – Jerichower Land,066
Sachsen-Anhalt,SPD,006,Pietschmann,Aick,Chemikant,1987,Mansfeld,073
Sachsen-Anhalt,SPD,007,Fahrtmann,Florian,Geschäftsführer,1983,Harz,068
Sachsen-Anhalt,SPD,008,Steigleder,Norman,Fluggerätemechaniker,1979,Burgenland – Saalekreis,072
Sachsen-Anhalt,CDU,001,Müller,Sepp,"MdB, Bankkaufmann",1989,Anhalt – Dessau – Wittenberg,070
Sachsen-Anhalt,CDU,002,Stier,Dieter,"MdB, Dipl.-Agraringenieur",1964,Burgenland – Saalekreis,072
Sachsen-Anhalt,CDU,003,Aeikens,Anna Elisabeth Christine Sophie,selbständig,1998,Börde – Salzlandkreis,067
Sachsen-Anhalt,CDU,004,Sorge,Tino,"MdB, Rechtsanwalt",1975,Magdeburg,069
Sachsen-Anhalt,CDU,005,Bernstiel,Christoph,Kommunikationsberater,1984,Halle,071
Sachsen-Anhalt,CDU,006,Pusch,Artjom,Wirtschaftsingenieur,1987,Harz,068
Sachsen-Anhalt,CDU,007,Wyszkowski,Frank,Hoteldirektor,1987,Mansfeld,073
Sachsen-Anhalt,CDU,008,Weber,Gerry,"Geschäftsführer, Unternehmer",1969,Altmark – Jerichower Land,066
Sachsen-Anhalt,CDU,009,Schmidt,Claudia Freia,Wissenschaftsreferentin,1980,,
Sachsen-Anhalt,CDU,010,Middendorf,Stefanie,"Mitarbeiterin Presse- und Öffentlichkeitsarbeit, Marketing",1981,,
Sachsen-Anhalt,CDU,011,Hellwig,Vivien Theresa,Auszubildende zur Steuerfachangestellten,2000,,
Sachsen-Anhalt,CDU,012,Braunsberger-Reinhold,Karolin,Projektmanagerin,1986,,
Sachsen-Anhalt,AfD,001,Reichardt,Martin,"MdB, Dipl.-Pädagoge",1969,Burgenland – Saalekreis,072
Sachsen-Anhalt,AfD,002,Schmidt,Jan Wenzel,"MdB, Handelsfachwirt",1991,Börde – Salzlandkreis,067
Sachsen-Anhalt,AfD,003,Rau,Phillipp-Anders,Büroangestellter,1983,,
Sachsen-Anhalt,AfD,004,Korell,Thomas,"MdL, Dachdecker",1983,Altmark – Jerichower Land,066
Sachsen-Anhalt,AfD,005,Weiss,Claudia,Referentin Gesundheit und Soziales,1975,Magdeburg,069
Sachsen-Anhalt,AfD,006,Titze,Anna-Lena,Verwaltungsfachangestellte,2003,,
Sachsen-Anhalt,AfD,007,Dr. Graudin,Andreas Rudolf,Jurist,1965,,
Sachsen-Anhalt,AfD,008,Reichenbach,Nils,Immobilienmakler,1977,,
Sachsen-Anhalt,AfD,009,Mildt,Thomas,Ergotherapeut,1967,,
Sachsen-Anhalt,AfD,010,Kämpfert,Michaela,Facharbeiterin Fleisch- und Wurstwarenverarbeitung,1972,,
Sachsen-Anhalt,Die Linke,001,Böttger,Janina,Europäische Dipl.-Verwaltungsmanagerin,1982,Halle,071
Sachsen-Anhalt,Die Linke,002,Schliesing,David,Audioredakteur,1983,Börde – Salzlandkreis,067
Sachsen-Anhalt,Die Linke,003,Lüttich,Nadja,Bildungswissenschaftlerin,1974,Altmark – Jerichower Land,066
Sachsen-Anhalt,Die Linke,004,Dr. Lippmann,Karsten,Historiker,1978,Harz,068
Sachsen-Anhalt,Die Linke,005,Hainich,Doreen,Beamtin,1967,Anhalt – Dessau – Wittenberg,070
Sachsen-Anhalt,Die Linke,006,Jannack,Dennis,Angestellter,1974,Magdeburg,069
Sachsen-Anhalt,Die Linke,007,Hartenstein-Wiermann,Gitta-Susann,Kulturwissenschaftlerin (M. A.),1976,,
Sachsen-Anhalt,Die Linke,008,Scholz,Michael,Kommunikationselektroniker,1974,Burgenland – Saalekreis,072
Sachsen-Anhalt,FDP,001,Dr. Faber,Marcus,Dipl.-Politikwissenschaftler,1984,Altmark – Jerichower Land,066
Sachsen-Anhalt,FDP,002,Eichelmann,Moritz,Student,2004,Burgenland – Saalekreis,072
Sachsen-Anhalt,FDP,003,Fliß,Henning Konrad,Master of Business Administration,1978,Anhalt – Dessau – Wittenberg,070
