bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Schleswig-Holstein,SPD,001,Klüssendorf,Tim,"MdB, Volks- und Betriebswirt",1991,Lübeck,011
Schleswig-Holstein,SPD,002,Dr. Scheer,Nina,"Juristin, Politikwissenschaftlerin, Musikerin",1971,Herzogtum Lauenburg – Stormarn-Süd,010
Schleswig-Holstein,SPD,003,Dr. Stegner,Ralf Alexander,"MdB, Politikwissenschaftler",1959,Pinneberg,007
Schleswig-Holstein,SPD,004,Hagedorn,Bettina,Goldschmiedin,1955,Ostholstein – Stormarn-Nord,009
Schleswig-Holstein,SPD,005,Reichardt,Truels,"Sozialpädagoge, Sozialarbeiter",1994,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,SPD,006,Schubert,Christina Marie,"Lehrerin, Erziehungswissenschaftlerin",1990,Kiel,005
Schleswig-Holstein,SPD,007,Dr. Klinck,Kristian,"MdB, Studienrat",1979,Plön – Neumünster,006
Schleswig-Holstein,SPD,008,Selbert,Johanna Helene,Juristin,1991,Flensburg – Schleswig,001
Schleswig-Holstein,SPD,009,Wilsberg,Felix,"Bankkaufmann, Hotelfachmann",1992,Rendsburg-Eckernförde,004
Schleswig-Holstein,SPD,010,Canli,Canan Gevher,Bankfachwirtin,1976,,
Schleswig-Holstein,SPD,011,Bergt,Bengt Axel,"MdB, techn. Redakteur, Übersetzer",1982,Segeberg – Stormarn-Mitte,008
Schleswig-Holstein,SPD,012,Fedrowitz,Katrin,Bürovorsteherin im RA- und Notarfach,1973,,
Schleswig-Holstein,SPD,013,Thießen,Hauke Christian,Studienrat,1984,Steinburg – Dithmarschen Süd,003
Schleswig-Holstein,SPD,014,Ahmad,Cira Awat,Studentin,1999,,
Schleswig-Holstein,CDU,001,Dr. Wadephul,Johann David Walter Rudolf,"MdB, Rechtsanwalt",1963,Rendsburg-Eckernförde,004
Schleswig-Holstein,CDU,002,Nicolaisen,Petra,"MdB, Industriekauffrau",1965,Flensburg – Schleswig,001
Schleswig-Holstein,CDU,003,Helfrich,Mark,Mitglied des Deutschen Bundestages,1978,Steinburg – Dithmarschen Süd,003
Schleswig-Holstein,CDU,004,Bernstein,Melanie,"MdB, Kulturwissenschaftlerin",1976,Segeberg – Stormarn-Mitte,008
Schleswig-Holstein,CDU,005,Bodin,Leif Erik,Jurist,1996,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,CDU,006,Drewes,Magdalena Wanda,Immobilienfachwirtin,1974,Kiel,005
Schleswig-Holstein,CDU,007,Schmidt,Sebastian,"Bankkaufmann, staatl. gepr. Betriebswirt",1993,Ostholstein – Stormarn-Nord,009
Schleswig-Holstein,CDU,008,Carstensen,Sandra,Juristin,1971,Plön – Neumünster,006
Schleswig-Holstein,CDU,009,Kölbl,Daniel,"Bankkaufmann, Abteilungsdirektor",1993,Pinneberg,007
Schleswig-Holstein,CDU,010,Dr. Steiner,Dagmar,"Fachärztin, Unternehmensberaterin im Gesundheitswesen",1964,,
Schleswig-Holstein,CDU,011,Schmidt,Henri,"Dipl.-Kaufmann, Geschäftsführer IT",1983,Herzogtum Lauenburg – Stormarn-Süd,010
Schleswig-Holstein,CDU,012,Uplegger,Anna,Offizieranwärterin bei der Marine,2004,,
Schleswig-Holstein,CDU,013,Lötsch,Nils Christopher,Architekt,1968,Lübeck,011
Schleswig-Holstein,CDU,014,Teetz,Friederike Eleonor,Kunsthistorikerin,1980,,
Schleswig-Holstein,CDU,015,Beck,Lukas,Polizeibeamter,1993,,
Schleswig-Holstein,CDU,016,von Mandel,Gina-Marie,Erzieherin,1999,,
Schleswig-Holstein,CDU,017,Klömmer,Thomas,"selbständig, Geschäftsführer, Bürgermeister",1982,,
Schleswig-Holstein,CDU,018,Thiesen,Julia,Volljuristin,1993,,
Schleswig-Holstein,CDU,019,Schumann,Henning,"Stadtpräsident, Geschäftsführer, Stiftungsvorstand",1969,,
Schleswig-Holstein,CDU,020,Müller-Weigel,Juliane,Vertriebsingenieurin Maschinenbau,1989,,
Schleswig-Holstein,CDU,021,Rahe,Christian,Landwirt und Unternehmer,1984,,
Schleswig-Holstein,CDU,022,Mues,Sabine,"Dipl.-Ing. Agrar, leitende Angestellte",1964,,
Schleswig-Holstein,CDU,023,Bohnhoff,Timo,Geschäftsleiter in der Medizintechnik,1990,,
Schleswig-Holstein,CDU,024,Dierks,Telse,Steuerfachwirtin,1987,,
Schleswig-Holstein,CDU,025,Gjoka,Kole,selbständig,1970,,
Schleswig-Holstein,CDU,026,Puschaddel-Freitag,Melanie,"Beamtin, Dipl.-Finanzwirtin",1974,,
Schleswig-Holstein,CDU,027,Feddersen,Volker,Landwirtschaftsmeister,1962,,
Schleswig-Holstein,CDU,028,Szymura,Jana Sophie,"Bankkauffrau, Digitalmarketing",1993,,
Schleswig-Holstein,CDU,029,Dr. Bornholdt,Karsten Wilhelm Walter,Rechtsanwalt,1970,,
Schleswig-Holstein,CDU,030,Pfeiffer,Antje Anett Angela,Head of Financial Controlling,1986,,
Schleswig-Holstein,CDU,031,Langbehn,Rüdiger Skule,Pensionär,1954,,
Schleswig-Holstein,CDU,032,Dr. Rönnau,Stefanie,Politikberaterin der Geschäftsführung,1970,,
Schleswig-Holstein,CDU,033,Henningsen,Hans-Walter,Landmaschinenmechaniker-Meister,1958,,
Schleswig-Holstein,CDU,034,Biebow,Henrike Gabriele,Verwaltungsökonomin (B. A.),1989,,
Schleswig-Holstein,CDU,035,Lamp,Jürgen,pensionierter Polizeihauptkommissar,1955,,
Schleswig-Holstein,CDU,036,Brunke,Daniela,Bankkauffrau,1978,,
Schleswig-Holstein,CDU,037,Bergstein,Nanny Johanna,Unternehmerin,1987,,
Schleswig-Holstein,GRÜNE,001,Amtsberg,Luise,Mitglied des Deutschen Bundestages,1984,Kiel,005
Schleswig-Holstein,GRÜNE,002,Habeck,Robert,Politiker,1969,Flensburg – Schleswig,001
Schleswig-Holstein,GRÜNE,003,Loop,Denise,staatl. anerkannte Sozialarbeiterin,1994,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,GRÜNE,004,Dr. von Notz,Konstantin,Volljurist,1971,Herzogtum Lauenburg – Stormarn-Süd,010
Schleswig-Holstein,GRÜNE,005,Vriesema,Mayra Tjorven,Masterstudentin der internat. Politik und des internat. Rechts,1999,,
Schleswig-Holstein,GRÜNE,006,Hönel,Bruno,Psychologe (M. Sc.),1996,Lübeck,011
Schleswig-Holstein,GRÜNE,007,Michel-Weichenthal,Juliane,Leitung Nachhaltigkeit und Klimaschutz,1988,Plön – Neumünster,006
Schleswig-Holstein,GRÜNE,008,Dr. Yilmaz,Samet,Beamter,1981,,
Schleswig-Holstein,GRÜNE,009,Dr. Clausen,Conny,Mathematikerin,1980,,
Schleswig-Holstein,GRÜNE,010,Unger,Lukas Jacob,Sport- und Medienmanager,2002,,
Schleswig-Holstein,GRÜNE,011,Granzin,Annette,Lehrerin,1975,Ostholstein – Stormarn-Nord,009
Schleswig-Holstein,GRÜNE,012,Dr. Faller,Fabian Arthur Friedrich,Bereichsleiter Energiewirtschaft,1984,Steinburg – Dithmarschen Süd,003
Schleswig-Holstein,GRÜNE,013,Hahn,Ann Christin,Unternehmerin,1980,Pinneberg,007
Schleswig-Holstein,GRÜNE,014,Osbahr,Fabian,Gemeinschaftsschullehrer,1983,,
Schleswig-Holstein,GRÜNE,015,Wegener,Monika Marianne,Sozialpädagogin i. R.,1956,Rendsburg-Eckernförde,004
Schleswig-Holstein,GRÜNE,016,Wlodarczyk,Robert,Talentmanager,2002,,
Schleswig-Holstein,GRÜNE,017,Dr. Mai,Nadine,Kunsthistorikerin,1983,,
Schleswig-Holstein,GRÜNE,018,Renner,Ocean,Auszubildende*r Maßschneider*in und Modedesign,2003,,
Schleswig-Holstein,GRÜNE,019,Lohmann,Susanne Britta,Kommunikationselektronikerin,1972,,
Schleswig-Holstein,GRÜNE,020,Driller-Brunkhorst,Ulrike Bernhardine,Lehrerin,1956,,
Schleswig-Holstein,GRÜNE,021,Pott,Sophia Marie,Studentin,2004,,
Schleswig-Holstein,GRÜNE,022,Fischer,Frank Christoph,Leitung Hausnotruf,1984,,
Schleswig-Holstein,GRÜNE,023,Dorandt,Julia,Organisationsentwicklerin,1978,Segeberg – Stormarn-Mitte,008
Schleswig-Holstein,GRÜNE,024,Schlotfeldt,Vincent Domenik,Geomatiker,2001,,
Schleswig-Holstein,GRÜNE,025,Leidt,Kerstin,Volljuristin,1970,,
Schleswig-Holstein,FDP,001,Kubicki,Wolfgang Joachim,Rechtsanwalt,1952,Rendsburg-Eckernförde,004
Schleswig-Holstein,FDP,002,Jensen-Bornhöft,Gyde,Politikwissenschaftlerin,1989,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,FDP,003,Mordhorst,Maximilian,Mitglied des Deutschen Bundestages,1996,Kiel,005
Schleswig-Holstein,FDP,004,Grundmann,Nora,Schulleiterin,1993,Segeberg – Stormarn-Mitte,008
Schleswig-Holstein,FDP,005,Rösch,Philipp,Dipl.-Kaufmann (FH),1978,Pinneberg,007
Schleswig-Holstein,FDP,006,Basler,Johannes-Konstantin,Student,1999,Herzogtum Lauenburg – Stormarn-Süd,010
Schleswig-Holstein,FDP,007,Maack,Tobias,Dipl.-Kaufmann,1967,Ostholstein – Stormarn-Nord,009
Schleswig-Holstein,FDP,008,Wamser,Michael,techn. Betriebswirt,1961,Steinburg – Dithmarschen Süd,003
Schleswig-Holstein,FDP,009,Dr. Zidorn,Christian,Universitätsprofessor,1968,Plön – Neumünster,006
Schleswig-Holstein,FDP,010,Schörck,Robert Paul Günter,wissenschaftl. Mitarbeiter,1997,Lübeck,011
Schleswig-Holstein,AfD,001,Kleinschmidt,Kurt Klaus,Berufssoldat a. D.,1967,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,AfD,002,Bollmann,Gereon Martin,Richter a. D.,1953,Rendsburg-Eckernförde,004
Schleswig-Holstein,AfD,003,Schnurrbusch,Ralf Volker,Journalist,1958,Ostholstein – Stormarn-Nord,009
Schleswig-Holstein,AfD,004,Przygodda,Kerstin,"Angestellte, wissenschaftl. Mitarbeiterin",1962,Lübeck,011
Schleswig-Holstein,AfD,005,Wendorf,Sven,Verwaltungsfachangestellter,1972,Segeberg – Stormarn-Mitte,008
Schleswig-Holstein,AfD,006,Giersch,Alexis Leonard,Dipl.-Ingenieur (FH),1963,,
Schleswig-Holstein,AfD,007,Voß,Fabian,Angestellter,1995,,
Schleswig-Holstein,Die Linke,001,Beutin,Lorenz Gösta,Historiker,1978,Flensburg – Schleswig,001
Schleswig-Holstein,Die Linke,002,Mazzi,Tamara Ursula Katharina,"Lehrerin, Beamtin",1992,Kiel,005
Schleswig-Holstein,Die Linke,003,Wiegand,Marlies,wissenschaftl. Mitarbeiterin,1991,,
Schleswig-Holstein,Die Linke,004,Frey,Finn Luca,Student,2001,,
Schleswig-Holstein,Die Linke,005,Szygula,Bianca,kaufm. Angestellte,1973,,
Schleswig-Holstein,Die Linke,006,Bornkessel,Marc-André Thore,Sanitäter,1970,Herzogtum Lauenburg – Stormarn-Süd,010
Schleswig-Holstein,Die Linke,007,Arnold,Melanie,Erwerbsminderungsrentnerin,1989,,
Schleswig-Holstein,Die Linke,008,Hintz,Mark,Kaufmann,1969,Rendsburg-Eckernförde,004
Schleswig-Holstein,SSW,001,Seidler,Stefan,Mitglied des Deutschen Bundestages,1979,Flensburg – Schleswig,001
Schleswig-Holstein,SSW,002,Roßberg,Maylis,Studentin,2000,Rendsburg-Eckernförde,004
Schleswig-Holstein,SSW,003,Knöfler,Lukas,freier Journalist,1987,Nordfriesland – Dithmarschen Nord,002
Schleswig-Holstein,SSW,004,Quäck,Sarina Magdalena,Sachbearbeiterin,1985,,
Schleswig-Holstein,SSW,005,Wippich,Svend,"Finanzanlagenvermittler, selbständig",1967,,
Schleswig-Holstein,SSW,006,Wanger,Svea,Dipl.-Pädagogin (Erziehungswissenschaftlerin),1981,,
Schleswig-Holstein,SSW,007,Lausten,Mads,Fraktionsgeschäftsführer,1998,,
Schleswig-Holstein,SSW,008,Rachenpöhler,Lilli Marie,Studentin,2003,,
Schleswig-Holstein,SSW,009,Franck,Poul Sören,Einzelhandelskaufmann,1998,,
Schleswig-Holstein,SSW,010,Christiansen,Helen Ghun,Projektmanagerin,1991,,
Schleswig-Holstein,SSW,011,Falke,Thorsten Jasper Ingo,Rentner,1956,Pinneberg,007
Schleswig-Holstein,SSW,012,Flügge-Munstermann,Anne-Sophie,politische Referentin,1989,,
Schleswig-Holstein,SSW,013,Bohk,Philipp,Kreisgeschäftsführer,1985,,
Schleswig-Holstein,SSW,014,Hahn,Marie-Katrine,Interior Designerin,1982,,
Schleswig-Holstein,SSW,015,Teebken,Simon,Finanzberater,1982,,
