bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Thüringen,AfD,001,Brandner,Stephan Günther,"MdB, Industriekaufmann, Rechtsanwalt",1966,Gera – Greiz – Altenburger Land,193
Thüringen,AfD,002,Möller,Stefan,Rechtsanwalt,1975,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,189
Thüringen,AfD,003,Braga,Torben,Politikwissenschaftler,1991,,
Thüringen,AfD,004,Leupold,Andreas,"Regelschullehrer, Mag. theol.",1991,,
Thüringen,AfD,005,Teske,Robert,Büroleiter,1990,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,195
Thüringen,AfD,006,Drößler,Christopher,Polizeibeamter,1995,Eichsfeld – Nordhausen – Kyffhäuserkreis,188
Thüringen,AfD,007,Claus,Alexander,"wissenschaftl. Mitarbeiter, Referent",1995,Erfurt – Weimar – Weimarer Land II,192
Thüringen,AfD,008,Prof. Dr. Kaufmann,Michael Heinz,Ingenieur,1964,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,194
Thüringen,AfD,009,Schröder,Stefan Falko,Büroleiter,1983,Jena – Sömmerda – Weimarer Land I,190
Thüringen,SPD,001,Schneider,Carsten,Bankkaufmann,1976,Erfurt – Weimar – Weimarer Land II,192
Thüringen,SPD,002,Kaiser,Elisabeth,Verwaltungswissenschaftlerin,1987,Gera – Greiz – Altenburger Land,193
Thüringen,SPD,003,Dr. Becker,Holger,Physiker,1964,Jena – Sömmerda – Weimarer Land I,190
Thüringen,SPD,004,Rudolph,Tina,Ärztin,1991,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,189
Thüringen,SPD,005,Meß,Raimund,Gewerkschaftssekretär,1990,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,195
Thüringen,SPD,006,Sayed,Mohamed Fayez Ahmed,Lehrer,1974,Eichsfeld – Nordhausen – Kyffhäuserkreis,188
Thüringen,SPD,007,Wagner,Florian,Pflegefachmann,2001,Gotha – Ilm-Kreis,191
