Bundesland,Anzahl Gemeinden,Fläche km2,Bevölkerung in Tsd,davon Deutsche in Tsd,Ausländer*innenanteil,Bevölkerungsdichte je km2,Geburtensaldo,Wanderungssaldo,Alter unter 18,Alter 18-24,Alter 25-34,Alter 35-59,Alter 60-74,Bodenfläche Siedlung und Verkehr,Bodenfläche Vegetation & Gewässer,Fertiggestellte Wohnungen 2021 je Tsd Einwohner*innen,Bestand an Wohnungen 2021 je Tsd Einwohner*innen,Wohnfläche je Wohnnung 2021,Wohnfläche 2021 je Tsd Einwohner*innen,PKW insgesamt je Tsd Einwohner*innen,PKW Elektro oder Hybrid,Unternehmen 2021 je Tsd Einwohner*innen,Handwerksunternehmen 2021 je Tsd Einwohner*innen,Schulabgänger*innen beruflicher Schulen 2022 je Tsd Einwohner*innen,Schulabgänger*innen insgesamt ohne Externe je Tsd Einwohner*innen,Schulabgänger*innen ohne Hauptschulabschluss,Schulabgänger*innen mit Hauptschulabschluss,Schulabgänger*innen mit Realschulabschluss,Schulabgänger*innen mit allgemeiner und Fachhochschulreife,Quote betreute Kinder unter 3 Jahre,Quote betreute Kinder 3-5 Jahre,Verfügbares Einkommen der privaten Haushalte 2021 EUR je Einwohner*in,BIP je Einwohner*in 2021,Sozialversicherungspflichtig je Tsd Einwohner*innen,"Anteil Sozialversicherungspflichtiger in Land-, Forstwirtschaft & Fisherei",Anteil Sozialversicherungspflichtiger im produzierenden Gewerbe,"Anteil Sozialversicherungspflichtiger im Handel, Gastgewerbe, Verkehr",Anteil Sozialversicherungspflichtige öffentliche und private Dienstleister,Anteil Sozialversicherungspflichtige übrige Dienstleister,Empfänger*innen Leistungen SGB II je Tsd Einwohner*innen,Anteil SGB II Empfänger*innen nichterwerbsfähige Hilfebedürftige,Anteil SGB II Empfänger*innen Ausländer*innen,Arbeitslosenquote insgesamt,Arbeitslosenquote Männer,Arbeitslosenquote Frauen,Arbeitslosenquote 15-24,Arbeitslosenquote 55-64,Mediangehalt
Baden_Wuerttemberg,1101.0,35747.9,11230.7,9213.1,18.0,314.2,-1.9,15.8,17.3,7.6,13.1,33.5,18.0,15.0,85.0,3.9,489.1,93.1,45.6,616.6,7.5,41.1,6.9,3.8,8.9,6.9,16.1,47.2,29.7,31.9,90.9,26039.0,48493.0,437.1,0.5,34.7,19.8,20.0,25.1,46.1,27.3,55.8,4.2,4.3,4.1,3.3,4.7,50250
Nordrhein_Westfalen,396.0,34112.7,18017.5,15219.4,15.5,528.2,-3.9,15.6,17.2,7.5,12.9,33.2,18.6,23.8,76.2,2.7,513.3,88.0,45.2,585.9,7.0,39.7,6.1,3.0,10.0,6.3,15.3,39.6,38.8,32.0,89.9,23812.0,41440.0,404.1,0.5,25.2,22.3,22.0,30.0,91.4,26.7,48.0,7.5,7.7,7.2,6.0,7.6,47250
Sachsen_Anhalt,218.0,20554.8,2144.6,1991.3,7.1,104.3,-10.3,18.5,15.3,6.2,9.0,33.0,23.1,11.6,88.4,1.9,608.2,79.0,48.1,569.0,4.7,31.7,7.4,1.8,8.3,11.5,10.9,50.0,27.6,62.9,94.8,21741.0,31381.0,372.6,1.7,27.1,22.0,15.7,33.5,82.7,22.3,30.7,7.5,8.0,7.0,8.1,7.5,39750
Berlin,1.0,891.1,3662.4,2861.9,21.9,4109.9,-1.2,22.5,16.8,7.3,16.3,34.5,15.4,70.6,29.4,4.4,554.4,71.9,39.8,339.7,9.0,49.5,4.8,1.7,8.0,7.0,12.1,35.4,45.5,50.0,93.7,22658.0,45074.0,458.7,0.0,12.5,20.4,33.3,33.7,128.2,25.7,45.1,9.7,10.0,9.3,9.1,9.1,48250
Schleswig_Holstein,1104.0,15804.3,2953.2,2658.3,10.0,186.9,-5.9,16.5,16.5,7.1,11.5,33.6,19.2,13.7,86.3,4.3,526.2,90.8,47.8,590.5,6.1,41.4,6.7,3.0,8.6,9.1,19.3,34.7,36.8,39.7,90.0,24888.0,35903.0,356.4,1.5,23.0,26.2,17.2,32.1,69.4,26.5,43.7,5.7,6.1,5.3,5.5,5.6,43750
Saarland,52.0,2572.0,1014.0,864.8,14.7,394.3,-6.7,18.0,15.5,6.7,12.0,32.2,22.1,21.9,78.1,2.4,519.4,101.1,52.5,642.5,6.4,37.9,7.3,3.9,8.8,7.5,27.6,30.1,34.8,33.9,87.6,22370.0,36730.0,387.0,0.2,29.6,20.6,19.2,30.4,84.3,26.2,51.2,7.0,7.6,6.4,5.8,6.9,44500
Hamburg,1.0,755.1,1851.6,1502.3,18.9,2452.2,-0.7,20.8,17.1,7.8,16.3,34.8,14.4,58.5,41.5,3.2,539.2,74.8,40.3,439.1,9.4,53.1,4.6,2.2,8.6,6.4,16.4,22.6,54.5,52.0,90.5,26158.0,70620.0,573.5,0.1,15.6,25.8,33.9,24.6,106.7,26.5,49.9,8.0,8.1,7.8,6.2,8.1,52000
Bayern,2056.0,70541.8,13176.4,11150.1,15.4,186.8,-2.3,16.6,16.9,7.4,13.2,33.9,18.1,12.5,87.5,5.0,511.1,94.6,48.4,634.9,7.6,46.7,7.8,2.6,9.0,5.1,20.4,46.8,27.7,32.8,90.6,26764.0,50643.0,449.7,0.6,31.1,21.3,21.8,25.2,36.4,25.9,55.3,3.7,3.8,3.6,3.1,4.5,50000
Hessen,421.0,21115.6,6267.5,5132.9,18.1,296.8,-3.1,17.9,17.2,7.5,12.9,33.8,18.1,16.2,83.8,3.4,501.5,93.6,47.0,622.8,8.2,42.8,6.6,2.4,8.6,6.5,16.3,48.6,28.6,34.4,90.5,25023.0,48190.0,437.0,0.4,22.7,23.2,27.1,26.7,69.1,28.4,55.2,5.5,5.5,5.4,5.4,5.4,50250
Rheinland_Pfalz,2301.0,19858.0,4125.2,3565.9,13.6,207.7,-4.1,17.0,16.8,7.1,12.3,33.0,20.2,15.0,85.0,3.4,526.4,100.9,53.1,637.7,6.2,38.2,7.0,2.2,9.1,7.6,17.8,38.8,35.8,32.5,91.5,24367.0,39530.0,360.4,1.1,29.6,22.0,16.3,31.0,57.5,26.8,47.4,5.2,5.4,4.9,4.9,5.5,45250
Brandenburg,413.0,29654.4,2554.5,2379.0,6.9,86.1,-8.1,21.6,16.3,5.8,8.5,34.6,22.5,10.3,89.7,4.6,540.2,84.3,45.5,579.8,5.5,37.5,9.0,1.6,8.2,7.3,13.1,39.6,39.9,61.5,96.5,22928.0,31787.0,345.8,2.1,24.1,23.9,16.0,33.9,60.6,22.7,33.2,6.1,6.5,5.6,6.7,5.9,41000
Bremen,2.0,419.6,702.7,546.1,22.3,1674.5,-2.7,15.3,17.3,8.2,14.5,32.4,16.9,56.8,43.2,2.3,525.3,78.4,41.2,427.9,6.6,38.3,4.4,2.4,9.7,9.5,22.7,31.3,36.4,31.2,85.4,22738.0,51822.0,490.8,0.1,21.3,25.6,24.4,28.6,144.0,28.0,49.9,11.0,11.2,10.8,8.7,10.6,47750
Niedersachsen,941.0,47709.9,8008.1,7091.5,11.4,167.9,-4.7,18.7,17.1,7.4,12.2,33.0,19.1,14.7,85.3,3.6,518.2,99.3,51.5,619.0,6.1,35.7,5.8,4.1,9.4,6.7,14.0,46.8,32.5,36.1,91.1,23375.0,39390.0,390.5,1.4,28.6,22.5,17.5,30.1,69.6,26.5,45.4,5.8,6.0,5.5,5.2,5.8,44750
Mecklenburg_Vorpommern,726.0,23294.8,1578.0,1483.3,6.0,67.7,-9.1,19.8,15.6,6.1,8.9,33.4,23.8,8.6,91.4,3.0,592.8,78.3,46.4,560.4,4.6,36.3,7.6,0.8,8.5,10.2,12.5,44.2,33.0,64.0,96.5,21880.0,30957.0,368.2,2.5,20.7,24.5,16.0,36.3,73.2,21.5,28.5,7.7,8.5,7.0,8.6,8.0,39500
Sachsen,418.0,18449.9,4054.7,3740.7,7.7,219.8,-7.9,18.2,16.2,6.6,9.8,33.0,20.9,15.1,84.9,2.3,594.2,73.9,43.9,538.9,5.2,38.2,8.6,1.7,8.0,8.5,8.4,50.8,32.3,59.3,96.8,22120.0,33330.0,405.4,1.1,27.5,20.7,19.2,31.5,64.6,22.7,38.2,6.5,6.8,6.1,6.7,7.1,40750
Thueringen,624.0,16202.4,2114.9,1946.3,8.0,130.5,-8.6,17.4,15.5,6.3,9.0,33.2,22.9,12.1,87.9,1.9,569.5,79.8,45.5,563.5,5.3,35.4,8.5,1.7,8.3,9.4,14.5,45.2,31.0,60.2,97.7,21803.0,31413.0,378.1,1.6,31.8,19.5,16.0,31.1,59.3,23.8,38.2,6.0,6.3,5.7,6.4,6.4,40250
