Bundesland,Anzahl Gemeinden,Fläche km2,Bevölkerung in Tsd,davon Deutsche in Tsd,Ausländer*innenanteil,Bevölkerungsdichte je km2,Geburtensaldo,Wanderungssaldo,Alter unter 18,Alter 18-24,Alter 25-34,Alter 35-59,Alter 60-74,Bodenfläche Siedlung und Verkehr,Bodenfläche Vegetation & Gewässer,Fertiggestellte Wohnungen 2021 je Tsd Einwohner*innen,Bestand an Wohnungen 2021 je Tsd Einwohner*innen,Wohnfläche je Wohnnung 2021,Wohnfläche 2021 je Tsd Einwohner*innen,PKW insgesamt je Tsd Einwohner*innen,PKW Elektro oder Hybrid,Unternehmen 2021 je Tsd Einwohner*innen,Handwerksunternehmen 2021 je Tsd Einwohner*innen,Schulabgänger*innen beruflicher Schulen 2022 je Tsd Einwohner*innen,Schulabgänger*innen insgesamt ohne Externe je Tsd Einwohner*innen,Schulabgänger*innen ohne Hauptschulabschluss,Schulabgänger*innen mit Hauptschulabschluss,Schulabgänger*innen mit Realschulabschluss,Schulabgänger*innen mit allgemeiner und Fachhochschulreife,Quote betreute Kinder unter 3 Jahre,Quote betreute Kinder 3-5 Jahre,Verfügbares Einkommen der privaten Haushalte 2021 EUR je Einwohner*in,BIP je Einwohner*in 2021,Sozialversicherungspflichtig je Tsd Einwohner*innen,"Anteil Sozialversicherungspflichtiger in Land-, Forstwirtschaft & Fisherei",Anteil Sozialversicherungspflichtiger im produzierenden Gewerbe,"Anteil Sozialversicherungspflichtiger im Handel, Gastgewerbe, Verkehr",Anteil Sozialversicherungspflichtige öffentliche und private Dienstleister,Anteil Sozialversicherungspflichtige übrige Dienstleister,Empfänger*innen Leistungen SGB II je Tsd Einwohner*innen,Anteil SGB II Empfänger*innen nichterwerbsfähige Hilfebedürftige,Anteil SGB II Empfänger*innen Ausländer*innen,Arbeitslosenquote insgesamt,Arbeitslosenquote Männer,Arbeitslosenquote Frauen,Arbeitslosenquote 15-24,Arbeitslosenquote 55-64,Mediangehalt
Baden-Württemberg,1101,35747.9,11230.7,9213.1,18,314.2,-1.9,15.8,17.3,7.6,13.1,33.5,18,15,85,3.9,489.1,93.1,45.6,616.6,7.5,41.1,6.9,3.8,8.9,6.9,16.1,47.2,29.7,31.9,90.9,26039,48493,437.1,0.5,34.7,19.8,20,25.1,46.1,27.3,55.8,4.2,4.3,4.1,3.3,4.7,50250
Nordrhein-Westfalen,396,34112.7,18017.5,15219.4,15.5,528.2,-3.9,15.6,17.2,7.5,12.9,33.2,18.6,23.8,76.2,2.7,513.3,88,45.2,585.9,7,39.7,6.1,3,10,6.3,15.3,39.6,38.8,32,89.9,23812,41440,404.1,0.5,25.2,22.3,22,30,91.4,26.7,48,7.5,7.7,7.2,6,7.6,47250
Sachsen-Anhalt,218,20554.8,2144.6,1991.3,7.1,104.3,-10.3,18.5,15.3,6.2,9,33,23.1,11.6,88.4,1.9,608.2,79,48.1,569,4.7,31.7,7.4,1.8,8.3,11.5,10.9,50,27.6,62.9,94.8,21741,31381,372.6,1.7,27.1,22,15.7,33.5,82.7,22.3,30.7,7.5,8,7,8.1,7.5,39750
Berlin,1,891.1,3662.4,2861.9,21.9,4109.9,-1.2,22.5,16.8,7.3,16.3,34.5,15.4,70.6,29.4,4.4,554.4,71.9,39.8,339.7,9,49.5,4.8,1.7,8,7,12.1,35.4,45.5,50,93.7,22658,45074,458.7,0,12.5,20.4,33.3,33.7,128.2,25.7,45.1,9.7,10,9.3,9.1,9.1,48250
Schleswig-Holstein,1104,15804.3,2953.2,2658.3,10,186.9,-5.9,16.5,16.5,7.1,11.5,33.6,19.2,13.7,86.3,4.3,526.2,90.8,47.8,590.5,6.1,41.4,6.7,3,8.6,9.1,19.3,34.7,36.8,39.7,90,24888,35903,356.4,1.5,23,26.2,17.2,32.1,69.4,26.5,43.7,5.7,6.1,5.3,5.5,5.6,43750
Saarland,52,2572,1014,864.8,14.7,394.3,-6.7,18,15.5,6.7,12,32.2,22.1,21.9,78.1,2.4,519.4,101.1,52.5,642.5,6.4,37.9,7.3,3.9,8.8,7.5,27.6,30.1,34.8,33.9,87.6,22370,36730,387,0.2,29.6,20.6,19.2,30.4,84.3,26.2,51.2,7,7.6,6.4,5.8,6.9,44500
Hamburg,1,755.1,1851.6,1502.3,18.9,2452.2,-0.7,20.8,17.1,7.8,16.3,34.8,14.4,58.5,41.5,3.2,539.2,74.8,40.3,439.1,9.4,53.1,4.6,2.2,8.6,6.4,16.4,22.6,54.5,52,90.5,26158,70620,573.5,0.1,15.6,25.8,33.9,24.6,106.7,26.5,49.9,8,8.1,7.8,6.2,8.1,52000
Bayern,2056,70541.8,13176.4,11150.1,15.4,186.8,-2.3,16.6,16.9,7.4,13.2,33.9,18.1,12.5,87.5,5,511.1,94.6,48.4,634.9,7.6,46.7,7.8,2.6,9,5.1,20.4,46.8,27.7,32.8,90.6,26764,50643,449.7,0.6,31.1,21.3,21.8,25.2,36.4,25.9,55.3,3.7,3.8,3.6,3.1,4.5,50000
Hessen,421,21115.6,6267.5,5132.9,18.1,296.8,-3.1,17.9,17.2,7.5,12.9,33.8,18.1,16.2,83.8,3.4,501.5,93.6,47,622.8,8.2,42.8,6.6,2.4,8.6,6.5,16.3,48.6,28.6,34.4,90.5,25023,48190,437,0.4,22.7,23.2,27.1,26.7,69.1,28.4,55.2,5.5,5.5,5.4,5.4,5.4,50250
Rheinland-Pfalz,2301,19858,4125.2,3565.9,13.6,207.7,-4.1,17,16.8,7.1,12.3,33,20.2,15,85,3.4,526.4,100.9,53.1,637.7,6.2,38.2,7,2.2,9.1,7.6,17.8,38.8,35.8,32.5,91.5,24367,39530,360.4,1.1,29.6,22,16.3,31,57.5,26.8,47.4,5.2,5.4,4.9,4.9,5.5,45250
